english,german,latin,system
left circumflex scapular vein,Linke Schulterblatt-Zirkumflexvene,Vena circumflexa scapulae sinistra,venous
left colic vein,Linke Dickdarmvene,Vena colica sinistra,venous
left common iliac vein,Linke gemeinsame Beckenvene,Vena iliaca communis sinistra,venous
left deep femoral vein,Linke tiefe Oberschenkelvene,Vena profunda femoris sinistra,venous
left deep palmar venous arch,Linker tiefer Hohlhand-Venenbogen,Arcus venosus palmaris profundus sinister,venous
left external iliac vein,Linke äußere Beckenvene,Vena iliaca externa sinistra,venous
left femoral vein,Linke Oberschenkelvene,Vena femoralis sinistra,venous
left fibular vein,Linke Wadenbeinvene,Vena fibularis sinistra,venous
left gastric vein,Linke Magenvene,Vena gastrica sinistra,venous
left gastroepiploic vein,Linke Magen-Netz-Vene,Vena gastroomentalis sinistra,venous
left genicular vein,Linke Knievene,Vena genicularis sinistra,venous
left great saphenous vein,Linke große Rosenvene,Vena saphena magna sinistra,venous
left hepatic vein,Linke Lebervene,Vena hepatica sinistra,venous
left iliolumbar vein,Linke Darmbein-Lenden-Vene,Vena iliolumbalis sinistra,venous
left inferior epigastric vein,Linke untere Bauchdeckenvene,Vena epigastrica inferior sinistra,venous
left inferior gluteal vein,Linke untere Gesäßvene,Vena glutea inferior sinistra,venous
left inferior pulmonary vein,Linke untere Lungenvene,Vena pulmonalis inferior sinistra,venous
left internal iliac vein,Linke innere Beckenvene,Vena iliaca interna sinistra,venous
left internal jugular vein,Linke innere Drosselvene,Vena jugularis interna sinistra,venous
left internal pudendal vein,Linke innere Schamvene,Vena pudenda interna sinistra,venous
left lateral basal segmental vein,Linke seitliche basale Segmentvene,Vena segmentalis basalis lateralis sinistra,venous
left lateral circumflex femoral vein,Linke seitliche Oberschenkel-Zirkumflexvene,Vena circumflexa femoris lateralis sinistra,venous
left lateral sacral vein,Linke seitliche Kreuzbeinvene,Vena sacralis lateralis sinistra,venous
left lateral thoracic vein,Linke seitliche Brustwandvene,Vena thoracica lateralis sinistra,venous
left marginal vein,Linke Randvene,Vena marginalis sinistra,venous
left medial brachial vein,Linke mediale Oberarmvene,Vena brachialis medialis sinistra,venous
left medial circumflex femoral vein,Linke mediale Oberschenkel-Zirkumflexvene,Vena circumflexa femoris medialis sinistra,venous
left median antebrachial vein,Linke mittlere Unterarmvene,Vena mediana antebrachii sinistra,venous
left median cubital vein,Linke mittlere Ellenbeugenvene,Vena mediana cubiti sinistra,venous
left musculophrenic vein,Linke Muskel-Zwerchfell-Vene,Vena musculophrenica sinistra,venous
left obturator vein,Linke Hüftlochvene,Vena obturatoria sinistra,venous
left palmar metacarpal vein,Linke Hohlhand-Mittelhandvene,Vena metacarpalis palmaris sinistra,venous
left popliteal vein,Linke Kniekehlenvene,Vena poplitea sinistra,venous
left portal vein,Linke Pfortader,Vena portae sinistra,venous
left posterior basal segmental vein,Linke hintere basale Segmentvene,Vena segmentalis basalis posterior sinistra,venous
left posterior segmental vein,Linke hintere Segmentvene,Vena segmentalis posterior sinistra,venous
left posterior tibial vein,Linke hintere Schienbeinvene,Vena tibialis posterior sinistra,venous
left radial vein,Linke Speichenvene,Vena radialis sinistra,venous
left renal vein,Linke Nierenvene,Vena renalis sinistra,venous
left small saphenous vein,Linke kleine Rosenvene,Vena saphena parva sinistra,venous
left subclavian vein,Linke Unterschlüsselbeinvene,Vena subclavia sinistra,venous
left subcostal vein,Linke Unterrippenvene,Vena subcostalis sinistra,venous
left subscapular vein,Linke Unterschulterblattvene,Vena subscapularis sinistra,venous
left superficial dorsal vein of penis,Linke oberflächliche dorsale Penisvene,Vena dorsalis superficialis penis sinistra,venous
left superficial epigastric vein,Linke oberflächliche Bauchdeckenvene,Vena epigastrica superficialis sinistra,venous
left superficial palmar venous arch,Linker oberflächlicher Hohlhand-Venenbogen,Arcus venosus palmaris superficialis sinister,venous
left superior epigastric vein,Linke obere Bauchdeckenvene,Vena epigastrica superior sinistra,venous
left superior gluteal vein,Linke obere Gesäßvene,Vena glutea superior sinistra,venous
left superior intercostal vein,Linke obere Zwischenrippenvene,Vena intercostalis superior sinistra,venous
left superior pulmonary vein,Linke obere Lungenvene,Vena pulmonalis superior sinistra,venous
left suprarenal vein,Linke Nebennierenvene,Vena suprarenalis sinistra,venous
left suprascapular vein,Linke Oberschulterblattvene,Vena suprascapularis sinistra,venous
left testicular vein,Linke Hodenvene,Vena testicularis sinistra,venous
left thoracodorsal vein,Linke Brust-Rücken-Vene,Vena thoracodorsalis sinistra,venous
left ulnar vein,Linke Ellenvene,Vena ulnaris sinistra,venous
lumbar vein,Lendenvene,Vena lumbalis,venous
medial inferior segmental branch of left portal vein,Medialer unterer Segmentast der linken Pfortader,Ramus segmentalis medialis inferior venae portae sinistrae,venous
medial inferior segmental tributary of middle hepatic vein,Medialer unterer Segmentzufluss der mittleren Lebervene,Ramus segmentalis medialis inferior venae hepaticae intermediae,venous
medial superior segmental branch of left portal vein,Medialer oberer Segmentast der linken Pfortader,Ramus segmentalis medialis superior venae portae sinistrae,venous
medial superior segmental tributary of left hepatic vein,Medialer oberer Segmentzufluss der linken Lebervene,Ramus segmentalis medialis superior venae hepaticae sinistrae,venous
median sacral vein,Mittlere Kreuzbeinvene,Vena sacralis mediana,venous
middle cardiac vein,Mittlere Herzvene,Vena cardiaca media,venous
middle colic vein,Mittlere Dickdarmvene,Vena colica media,venous
middle hepatic vein,Mittlere Lebervene,Vena hepatica intermedia,venous
pancreaticoduodenal vein,Pankreas-Duodenal-Vene,Vena pancreaticoduodenalis,venous
plantar metatarsal vein,Fußsohlen-Mittelfußvene,Vena metatarsalis plantaris,venous
plantar venous arch of left foot,Linker Fußsohlen-Venenbogen,Arcus venosus plantaris pedis sinistri,venous
plantar venous arch of right foot,Rechter Fußsohlen-Venenbogen,Arcus venosus plantaris pedis dextri,venous
posterior inferior segmental branch of right portal vein,Hinterer unterer Segmentast der rechten Pfortader,Ramus segmentalis posterior inferior venae portae dextrae,venous
posterior inferior segmental tributary of right hepatic vein,Hinterer unterer Segmentzufluss der rechten Lebervene,Ramus segmentalis posterior inferior venae hepaticae dextrae,venous
posterior part of lateral segmental vein,Hinterer Teil der seitlichen Segmentvene,Pars posterior venae segmentalis lateralis,venous
posterior superior segmental branch of right portal vein,Hinterer oberer Segmentast der rechten Pfortader,Ramus segmentalis posterior superior venae portae dextrae,venous
posterior superior segmental tributary of right hepatic vein,Hinterer oberer Segmentzufluss der rechten Lebervene,Ramus segmentalis posterior superior venae hepaticae dextrae,venous
posterior vein of left ventricle,Hintere Vene der linken Herzkammer,Vena posterior ventriculi sinistri,venous
pre-hepatic portal vein,Prähepatische Pfortader,Vena portae prehepatica,venous
proper palmar digital vein of left index finger,Eigentliche Hohlhand-Fingervene des linken Zeigefingers,Vena digitalis palmaris propria indicis sinistri,venous
proper palmar digital vein of left little finger,Eigentliche Hohlhand-Fingervene des linken Kleinfingers,Vena digitalis palmaris propria digiti minimi sinistri,venous
proper palmar digital vein of left middle finger,Eigentliche Hohlhand-Fingervene des linken Mittelfingers,Vena digitalis palmaris propria digiti medii sinistri,venous
proper palmar digital vein of left ring finger,Eigentliche Hohlhand-Fingervene des linken Ringfingers,Vena digitalis palmaris propria digiti anularis sinistri,venous
proper palmar digital vein of right index finger,Eigentliche Hohlhand-Fingervene des rechten Zeigefingers,Vena digitalis palmaris propria indicis dextri,venous
proper palmar digital vein of right little finger,Eigentliche Hohlhand-Fingervene des rechten Kleinfingers,Vena digitalis palmaris propria digiti minimi dextri,venous
proper palmar digital vein of right middle finger,Eigentliche Hohlhand-Fingervene des rechten Mittelfingers,Vena digitalis palmaris propria digiti medii dextri,venous
proper palmar digital vein of right ring finger,Eigentliche Hohlhand-Fingervene des rechten Ringfingers,Vena digitalis palmaris propria digiti anularis dextri,venous
right anterior basal segmental vein,Rechte vordere basale Segmentvene,Vena segmentalis basalis anterior dextra,venous
right anterior circumflex humeral vein,Rechte vordere Oberarm-Zirkumflexvene,Vena circumflexa humeri anterior dextra,venous
right anterior segmental vein,Rechte vordere Segmentvene,Vena segmentalis anterior dextra,venous
right anterior tibial vein,Rechte vordere Schienbeinvene,Vena tibialis anterior dextra,venous
right ascending lumbar vein,Rechte aufsteigende Lendenvene,Vena lumbalis ascendens dextra,venous
right axillary vein,Rechte Achselvene,Vena axillaris dextra,venous
right basilic vein,Rechte Basilikavene,Vena basilica dextra,venous
right brachiocephalic vein,Rechte Arm-Kopf-Vene,Vena brachiocephalica dextra,venous
right cephalic vein,Rechte Kopfvene,Vena cephalica dextra,venous
right circumflex scapular vein,Rechte Schulterblatt-Zirkumflexvene,Vena circumflexa scapulae dextra,venous
right colic vein,Rechte Dickdarmvene,Vena colica dextra,venous
right common iliac vein,Rechte gemeinsame Beckenvene,Vena iliaca communis dextra,venous
right deep femoral vein,Rechte tiefe Oberschenkelvene,Vena profunda femoris dextra,venous
right deep palmar venous arch,Rechter tiefer Hohlhand-Venenbogen,Arcus venosus palmaris profundus dexter,venous
right external iliac vein,Rechte äußere Beckenvene,Vena iliaca externa dextra,venous
right femoral vein,Rechte Oberschenkelvene,Vena femoralis dextra,venous
right fibular vein,Rechte Wadenbeinvene,Vena fibularis dextra,venous
right gastric vein,Rechte Magenvene,Vena gastrica dextra,venous
right gastroepiploic vein,Rechte Magen-Netz-Vene,Vena gastroomentalis dextra,venous
right genicular vein,Rechte Knievene,Vena genicularis dextra,venous
right great saphenous vein,Rechte große Rosenvene,Vena saphena magna dextra,venous
right hepatic vein,Rechte Lebervene,Vena hepatica dextra,venous
right iliolumbar vein,Rechte Darmbein-Lenden-Vene,Vena iliolumbalis dextra,venous
right inferior epigastric vein,Rechte untere Bauchdeckenvene,Vena epigastrica inferior dextra,venous
right inferior gluteal vein,Rechte untere Gesäßvene,Vena glutea inferior dextra,venous
right inferior pulmonary vein,Rechte untere Lungenvene,Vena pulmonalis inferior dextra,venous
right internal iliac vein,Rechte innere Beckenvene,Vena iliaca interna dextra,venous
right internal jugular vein,Rechte innere Drosselvene,Vena jugularis interna dextra,venous
right internal pudendal vein,Rechte innere Schamvene,Vena pudenda interna dextra,venous
right internal thoracic vein,Rechte innere Brustwandvene,Vena thoracica interna dextra,venous
right lateral basal segmental vein,Rechte seitliche basale Segmentvene,Vena segmentalis basalis lateralis dextra,venous
right lateral circumflex femoral vein,Rechte seitliche Oberschenkel-Zirkumflexvene,Vena circumflexa femoris lateralis dextra,venous
right lateral sacral vein,Rechte seitliche Kreuzbeinvene,Vena sacralis lateralis dextra,venous
right lateral thoracic vein,Rechte seitliche Brustwandvene,Vena thoracica lateralis dextra,venous
right marginal vein,Rechte Randvene,Vena marginalis dextra,venous
right medial basal segmental vein,Rechte mediale basale Segmentvene,Vena segmentalis basalis medialis dextra,venous
right medial brachial vein,Rechte mediale Oberarmvene,Vena brachialis medialis dextra,venous
right medial circumflex femoral vein,Rechte mediale Oberschenkel-Zirkumflexvene,Vena circumflexa femoris medialis dextra,venous
right median antebrachial vein,Rechte mittlere Unterarmvene,Vena mediana antebrachii dextra,venous
right median cubital vein,Rechte mittlere Ellenbeugenvene,Vena mediana cubiti dextra,venous
right musculophrenic vein,Rechte Muskel-Zwerchfell-Vene,Vena musculophrenica dextra,venous
right obturator vein,Rechte Hüftlochvene,Vena obturatoria dextra,venous
right palmar metacarpal vein,Rechte Hohlhand-Mittelhandvene,Vena metacarpalis palmaris dextra,venous
right popliteal vein,Rechte Kniekehlenvene,Vena poplitea dextra,venous
right portal vein,Rechte Pfortader,Vena portae dextra,venous
right posterior basal segmental vein,Rechte hintere basale Segmentvene,Vena segmentalis basalis posterior dextra,venous
right posterior segmental vein,Rechte hintere Segmentvene,Vena segmentalis posterior dextra,venous
right posterior tibial vein,Rechte hintere Schienbeinvene,Vena tibialis posterior dextra,venous
right radial vein,Rechte Speichenvene,Vena radialis dextra,venous
right renal vein,Rechte Nierenvene,Vena renalis dextra,venous
right small saphenous vein,Rechte kleine Rosenvene,Vena saphena parva dextra,venous
right subclavian vein,Rechte Unterschlüsselbeinvene,Vena subclavia dextra,venous
right subcostal vein,Rechte Unterrippenvene,Vena subcostalis dextra,venous
right subscapular vein,Rechte Unterschulterblattvene,Vena subscapularis dextra,venous
right superficial dorsal vein of penis,Rechte oberflächliche dorsale Penisvene,Vena dorsalis superficialis penis dextra,venous
right superficial epigastric vein,Rechte oberflächliche Bauchdeckenvene,Vena epigastrica superficialis dextra,venous
right superficial palmar venous arch,Rechter oberflächlicher Hohlhand-Venenbogen,Arcus venosus palmaris superficialis dexter,venous
right superior epigastric vein,Rechte obere Bauchdeckenvene,Vena epigastrica superior dextra,venous
right superior gluteal vein,Rechte obere Gesäßvene,Vena glutea superior dextra,venous
right superior intercostal vein,Rechte obere Zwischenrippenvene,Vena intercostalis superior dextra,venous
right superior pulmonary vein,Rechte obere Lungenvene,Vena pulmonalis superior dextra,venous
right superior segmental vein,Rechte obere Segmentvene,Vena segmentalis superior dextra,venous
right suprarenal vein,Rechte Nebennierenvene,Vena suprarenalis dextra,venous
right suprascapular vein,Rechte Oberschulterblattvene,Vena suprascapularis dextra,venous
right testicular vein,Rechte Hodenvene,Vena testicularis dextra,venous
right thoracodorsal vein,Rechte Brust-Rücken-Vene,Vena thoracodorsalis dextra,venous
right ulnar vein,Rechte Ellenvene,Vena ulnaris dextra,venous
set of anterior intercostal veins,Vordere Zwischenrippenvenen,Venae intercostales anteriores,venous
set of dorsal digital veins,Rückseitige Fingervenen,Venae digitales dorsales,venous
set of perforating veins,Perforansvenen,Venae perforantes,venous
set of plantar digital veins,Fußsohlen-Zehenvenen,Venae digitales plantares,venous
sigmoid vein,Sigmavene,Vena sigmoidea,venous
small cardiac vein,Kleine Herzvene,Vena cardiaca parva,venous
splenic vein,Milzvene,Vena splenica,venous
superficial dorsal vein of penis,Oberflächliche dorsale Penisvene,Vena dorsalis superficialis penis,venous
superior lingular vein,Obere Lingula-Vene,Vena lingularis superior,venous
superior mesenteric vein,Obere Gekrösevene,Vena mesenterica superior,venous
superior part of medial segmental vein,Oberer Teil der medialen Segmentvene,Pars superior venae segmentalis medialis,venous
superior part of right anterior segmental vein,Oberer Teil der rechten vorderen Segmentvene,Pars superior venae segmentalis anterioris dextrae,venous
superior phrenic vein,Obere Zwerchfellvene,Vena phrenica superior,venous
superior rectal vein,Obere Mastdarmvene,Vena rectalis superior,venous
superior vena cava,Obere Hohlvene,Vena cava superior,venous
tributary of middle hepatic vein,Zufluss der mittleren Lebervene,Ramus venae hepaticae intermediae,venous
tributary of plantar venous arch,Zufluss des Fußsohlen-Venenbogens,Ramus arcus venosi plantaris,venous
trunk of left portal vein,Stamm der linken Pfortader,Truncus venae portae sinistrae,venous
trunk of right apical segmental vein,Stamm der rechten apikalen Segmentvene,Truncus venae segmentalis apicalis dextrae,venous
trunk of right portal vein,Stamm der rechten Pfortader,Truncus venae portae dextrae,venous
