english,german,latin,system
anterior basal segmental vein,Vordere basale Segmentvene,Vena segmentalis basalis anterior,concept
anterior branch of anterior interventricular branch of left coronary artery,Vorderer Ast des vorderen Zwischenkammerastes der linken Koronararterie,Ramus anterior rami interventricularis anterioris arteriae coronariae sinistrae,concept
anterior branch of anterior segmental artery,Vorderer Ast der vorderen Segmentarterie,Ramus anterior arteriae segmentalis anterioris,concept
anterior branch of right portal vein,Vorderer Ast der rechten Pfortader,Ramus anterior venae portae dextrae,concept
anterior cardiac venous tree,Vorderer Herzvenenbaum,Arbor venarum cardiacarum anteriorum,concept
anterior cerebral artery,Vordere Hirnarterie,Arteria cerebri anterior,concept
anterior chamber of eyeball,Vordere Augenkammer des Augapfels,Camera anterior bulbi oculi,concept
anterior chest,Vordere Brust,Pectus anterius,concept
anterior chest wall,Vordere Brustwand,Paries pectoris anterior,concept
anterior choroidal artery,Vordere Aderhautarterie,Arteria choroidea anterior,concept
anterior circumflex humeral artery,Vordere Oberarm-Zirkumflexarterie,Arteria circumflexa humeri anterior,concept
anterior circumflex humeral vein,Vordere Oberarm-Zirkumflexvene,Vena circumflexa humeri anterior,concept
anterior division of renal artery,Vorderer Ast der Nierenarterie,Ramus anterior arteriae renalis,concept
anterior ethmoidal nerve,Vorderer Siebbeinnerv,Nervus ethmoidalis anterior,concept
anterior interosseous artery,Vordere Zwischenknochenarterie,Arteria interossea anterior,concept
anterior interventricular branch of left coronary artery,Vorderer Zwischenkammerast der linken Koronararterie,Ramus interventricularis anterior arteriae coronariae sinistrae,concept
anterior mediastinum,Vorderer Mittelfellraum,Mediastinum anterius,concept
anterior parietal artery,Vordere Scheitellappenarterie,Arteria parietalis anterior,concept
anterior part of apical segmental artery,Vorderer Teil der apikalen Segmentarterie,Pars anterior arteriae segmentalis apicalis,concept
anterior part of apical segmental vein,Vorderer Teil der apikalen Segmentvene,Pars anterior venae segmentalis apicalis,concept
anterior part of left knee,Vorderer Teil des linken Knies,Pars anterior genus sinistri,concept
anterior part of right knee,Vorderer Teil des rechten Knies,Pars anterior genus dextri,concept
anterior part of superior temporal gyrus,Vorderer Teil des Gyrus temporalis superior,Pars anterior gyri temporalis superioris,concept
anterior sector of left liver,Vorderer Sektor der linken Leber,Sector anterior hepatis sinistri,concept
anterior sector of right liver,Vorderer Sektor der rechten Leber,Sector anterior hepatis dextri,concept
anterior segmental artery,Vordere Segmentarterie,Arteria segmentalis anterior,concept
anterior segmental bronchial tree,Vorderer Segmentbronchialbaum,Arbor bronchialis segmentalis anterior,concept
anterior segmental hepatic artery,Vordere Lebersegmentarterie,Arteria segmentalis hepatica anterior,concept
anterior segmental vein,Vordere Segmentvene,Vena segmentalis anterior,concept
anterior spinal artery,Vordere Rückenmarksarterie,Arteria spinalis anterior,concept
anterior suboccipital muscle,Vorderer Subokzipitalmuskel,Musculus suboccipitalis anterior,concept
anterior superficial chest wall,Vordere oberflächliche Brustwand,Paries pectoris superficialis anterior,concept
anterior temporal artery,Vordere Schläfenlappenarterie,Arteria temporalis anterior,concept
anterior temporal branch of lateral occipital artery,Vorderer Schläfenast der seitlichen Hinterhauptarterie,Ramus temporalis anterior arteriae occipitalis lateralis,concept
anterior thoracic wall,Vordere Brustkorbwand,Paries thoracis anterior,concept
anterior tibial artery,Vordere Schienbeinarterie,Arteria tibialis anterior,concept
anterior tibial recurrent artery,Vordere rückläufige Schienbeinarterie,Arteria recurrens tibialis anterior,concept
anterior tibial vein,Vordere Schienbeinvene,Vena tibialis anterior,concept
anterior tributary of right hepatic biliary tree,Vorderer Zufluss des rechten Gallengangsystems,Ramus anterior arboris biliaris dextri,concept
anterior ulnar recurrent artery,Vordere rückläufige Ellenarterie,Arteria recurrens ulnaris anterior,concept
anterior ventricular branch of right coronary artery,Vorderer Kammerast der rechten Koronararterie,Ramus ventricularis anterior arteriae coronariae dextrae,concept
anterior wall of left ventricle,Vordere Wand der linken Herzkammer,Paries anterior ventriculi sinistri,concept
anterior wall of right ventricle,Vordere Wand der rechten Herzkammer,Paries anterior ventriculi dextri,concept
antero-medial basal segmental artery,Vordere mediale basale Segmentarterie,Arteria segmentalis basalis anteromedialis,concept
anterolateral central branch of middle cerebral artery,Anterolateraler zentraler Ast der mittleren Hirnarterie,Ramus centralis anterolateralis arteriae cerebri mediae,concept
aorta,Aorta,Aorta,concept
aortic valve,Aortenklappe,Valva aortae,concept
apical part of apical segmental artery,Apikaler Teil der apikalen Segmentarterie,Pars apicalis arteriae segmentalis apicalis,concept
apical part of apical segmental vein,Apikaler Teil der apikalen Segmentvene,Pars apicalis venae segmentalis apicalis,concept
apical part of posterior segmental artery,Apikaler Teil der hinteren Segmentarterie,Pars apicalis arteriae segmentalis posterioris,concept
apical segmental artery,Apikale Segmentarterie,Arteria segmentalis apicalis,concept
apical segmental bronchial tree,Apikaler Segmentbronchialbaum,Arbor bronchialis segmentalis apicalis,concept
apical segmental vein,Apikale Segmentvene,Vena segmentalis apicalis,concept
apicoposterior bronchopulmonary segment,Apikoposteriores Lungensegment,Segmentum bronchopulmonale apicoposterius,concept
apicoposterior division of right upper lobar artery,Apikoposteriorer Ast der rechten oberen Lappenarterie,Ramus apicoposterior arteriae lobaris superioris dextrae,concept
apicoposterior segmental vein,Apikoposteriore Segmentvene,Vena segmentalis apicoposterior,concept
arcuate artery,Bogenarterie,Arteria arcuata,concept
arteria princeps pollicis,Hauptdaumenarterie,Arteria princeps pollicis,concept
arteria radialis indicis,Speichenseitige Zeigefingerarterie,Arteria radialis indicis,concept
arterial anastomosis,Arterienanastomose,Anastomosis arteriosa,concept
arterial trunk,Arterienstamm,Truncus arteriosus,concept
artery,Arterie,Arteria,concept
artery of postcentral sulcus,Arterie des Sulcus postcentralis,Arteria sulci postcentralis,concept
artery of precentral sulcus,Arterie des Sulcus precentralis,Arteria sulci precentralis,concept
articular disk of symphysis,Gelenkscheibe der Symphyse,Discus articularis symphysis,concept
aryepiglotticus,Stellknorpel-Kehldeckel-Muskel,Musculus aryepiglotticus,concept
arytenoid cartilage,Stellknorpel,Cartilago arytenoidea,concept
ascending part of trapezius,Aufsteigender Anteil des Trapezmuskels,Pars ascendens musculi trapezii,concept
atypical rib,Atypische Rippe,Costa atypica,concept
autonomic ganglion,Autonomes Ganglion,Ganglion autonomicum,concept
axial skeletal system,Axiales Skelettsystem,Systema skeletale axiale,concept
axial skeleton,Achsenskelett,Skeleton axiale,concept
axillary artery,Achselarterie,Arteria axillaris,concept
axillary vein,Achselvene,Vena axillaris,concept
back of abdomen,Rückseite des Bauches,Dorsum abdominis,concept
back of neck,Nacken,Regio cervicalis posterior,concept
back of thorax,Rücken des Brustkorbs,Dorsum thoracis,concept
basal branch of anterior basal segmental artery,Basaler Ast der vorderen basalen Segmentarterie,Ramus basalis arteriae segmentalis basalis anterioris,concept
basal ganglion of telencephalon,Basalganglion des Endhirns,Nucleus basalis telencephali,concept
basal segmental bronchial tree,Basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis,concept
basicranial part of head proper,Schädelbasisteil des Kopfes,Pars basicranialis capitis proprii,concept
basicranium,Schädelbasis,Basis cranii,concept
basilic vein,Basilikavene,Vena basilica,concept
bile duct,Gallengang,Ductus biliaris,concept
biliary tree,Gallengangsystem,Arbor biliaris,concept
body cavity content,Körperhöhleninhalt,Contentum cavitatis corporis,concept
body compartment,Körperkompartiment,Compartimentum corporis,concept
body of organ,Körper des Organs,Corpus organi,concept
body proper,Eigentlicher Körper,Corpus proprium,concept
body wall,Körperwand,Paries corporis,concept
bone organ,Knochen,Os,concept
bony part of nasal septum,Knöcherner Teil der Nasenscheidewand,Pars ossea septi nasi,concept
bony pelvis,Knöchernes Becken,Pelvis ossea,concept
brachial artery,Oberarmarterie,Arteria brachialis,concept
brachial vein,Oberarmvene,Vena brachialis,concept
brachialis,Armbeuger,Musculus brachialis,concept
brachiocephalic vein,Arm-Kopf-Vene,Vena brachiocephalica,concept
brachioradialis,Oberarm-Speichen-Muskel,Musculus brachioradialis,concept
brachium of inferior colliculus,Arm des unteren Hügels,Brachium colliculi inferioris,concept
brachium of neuraxis,Arm der Neuraxis,Brachium neuraxis,concept
brachium of superior colliculus,Arm des oberen Hügels,Brachium colliculi superioris,concept
brain,Gehirn,Encephalon,concept
brainstem,Hirnstamm,Truncus encephali,concept
branch of anterior cerebral artery,Ast der vorderen Hirnarterie,Ramus arteriae cerebri anterioris,concept
branch of anterior choroidal artery,Ast der vorderen Aderhautarterie,Ramus arteriae choroideae anterioris,concept
branch of anterior choroidal artery to posterior limb of internal capsule,Ast der vorderen Aderhautarterie zum hinteren Schenkel der inneren Kapsel,Ramus arteriae choroideae anterioris ad crus posterius capsulae internae,concept
branch of anterior interventricular branch of left coronary artery,Ast des vorderen Zwischenkammerastes der linken Koronararterie,Ramus rami interventricularis anterioris arteriae coronariae sinistrae,concept
branch of arterial anastomosis,Ast der Arterienanastomose,Ramus anastomosis arteriosae,concept
branch of basilar artery,Ast der Basilararterie,Ramus arteriae basilaris,concept
branch of brachial artery,Ast der Oberarmarterie,Ramus arteriae brachialis,concept
branch of callosomarginal artery,Ast der Callosomarginalarterie,Ramus arteriae callosomarginalis,concept
branch of cerebral arterial circle,Ast des Hirnarterienkreises,Ramus circuli arteriosi cerebri,concept
branch of ciliary ganglion,Ast des Ziliarganglions,Ramus ganglii ciliaris,concept
branch of common interosseous artery,Ast der gemeinsamen Zwischenknochenarterie,Ramus arteriae interosseae communis,concept
branch of cranial nerve,Ast des Hirnnervs,Ramus nervi cranialis,concept
branch of deep brachial artery,Ast der tiefen Oberarmarterie,Ramus arteriae profundae brachii,concept
branch of deep palmar arterial arch,Ast des tiefen Hohlhandbogens,Ramus arcus palmaris profundi,concept
branch of first common palmar digital artery,Ast der ersten gemeinsamen Hohlhand-Fingerarterie,Ramus arteriae digitalis palmaris communis primae,concept
branch of frontal nerve,Ast des Stirnnervs,Ramus nervi frontalis,concept
branch of ileocolic artery,Ast der Ileokolikarterie,Ramus arteriae ileocolicae,concept
branch of inferior branch of ileocolic artery,Ast des unteren Astes der Ileokolikarterie,Ramus rami inferioris arteriae ileocolicae,concept
branch of lateral circumflex femoral artery,Ast der seitlichen Oberschenkel-Zirkumflexarterie,Ramus arteriae circumflexae femoris lateralis,concept
branch of lateral occipital artery,Ast der seitlichen Hinterhauptarterie,Ramus arteriae occipitalis lateralis,concept
branch of lateral plantar artery,Ast der seitlichen Fußsohlenarterie,Ramus arteriae plantaris lateralis,concept
branch of left coronary artery,Ast der linken Koronararterie,Ramus arteriae coronariae sinistrae,concept
branch of medial branch of superior cerebellar artery,Ast des medialen Astes der oberen Kleinhirnarterie,Ramus rami medialis arteriae superioris cerebelli,concept
branch of medial occipital artery,Ast der medialen Hinterhauptarterie,Ramus arteriae occipitalis medialis,concept
branch of medial plantar artery,Ast der medialen Fußsohlenarterie,Ramus arteriae plantaris medialis,concept
branch of middle cerebral artery,Ast der mittleren Hirnarterie,Ramus arteriae cerebri mediae,concept
branch of middle cerebral artery to angular gyrus,Ast des Asts der mittleren Hirnarterie zum Gyrus angularis,Ramus rami arteriae cerebri mediae ad gyrum angularem,concept
branch of nasociliary nerve,Ast des Nasoziliarnervs,Ramus nervi nasociliaris,concept
branch of oculomotor nerve,Ast des Augenbewegungsnervs,Ramus nervi oculomotorii,concept
branch of ophthalmic nerve,Ast des Augennervs,Ramus nervi ophthalmici,concept
branch of pericallosal artery,Ast der Perikallosalarterie,Ramus arteriae pericallosae,concept
branch of pontine artery,Ast der Brückenarterie,Ramus arteriae pontis,concept
branch of postcommunicating part of anterior cerebral artery,Ast des postkommunikalen Teils der vorderen Hirnarterie,Ramus partis postcommunicalis arteriae cerebri anterioris,concept
branch of posterior cerebral artery,Ast der hinteren Hirnarterie,Ramus arteriae cerebri posterioris,concept
branch of posterior choroidal artery,Ast der hinteren Aderhautarterie,Ramus arteriae choroideae posterioris,concept
branch of posterior communicating artery,Ast der hinteren Verbindungsarterie,Ramus arteriae communicantis posterioris,concept
branch of posterior tibial artery,Ast der hinteren Schienbeinarterie,Ramus arteriae tibialis posterioris,concept
branch of radial artery,Ast der Speichenarterie,Ramus arteriae radialis,concept
branch of right coronary artery,Ast der rechten Koronararterie,Ramus arteriae coronariae dextrae,concept
branch of second common palmar digital artery,Ast der zweiten gemeinsamen Hohlhand-Fingerarterie,Ramus arteriae digitalis palmaris communis secundae,concept
branch of sphenoid part of middle cerebral artery,Ast des sphenoidalen Teils der mittleren Hirnarterie,Ramus partis sphenoidalis arteriae cerebri mediae,concept
branch of superficial palmar arterial arch,Ast des oberflächlichen Hohlhandbogens,Ramus arcus palmaris superficialis,concept
branch of superior cerebellar artery,Ast der oberen Kleinhirnarterie,Ramus arteriae superioris cerebelli,concept
branch of third common palmar digital artery,Ast der dritten gemeinsamen Hohlhand-Fingerarterie,Ramus arteriae digitalis palmaris communis tertiae,concept
branch of trigeminal nerve,Ast des Drillingsnervs,Ramus nervi trigemini,concept
branch of ulnar artery,Ast der Ellenarterie,Ramus arteriae ulnaris,concept
branch of vertebral artery,Ast der Wirbelarterie,Ramus arteriae vertebralis,concept
bronchus,Bronchus,Bronchus,concept
calcaneal tendon,Achillessehne,Tendo calcaneus,concept
calcaneus,Fersenbein,Calcaneus,concept
callosomarginal artery,Callosomarginalarterie,Arteria callosomarginalis,concept
canine tooth,Eckzahn,Dens caninus,concept
capitate,Kopfbein,Os capitatum,concept
capsule of cerebral hemisphere,Kapsel der Großhirnhemisphäre,Capsula hemispherii cerebri,concept
cardiac vein,Herzvene,Vena cardiaca,concept
cardinal organ part,Organhauptteil,Pars cardinalis organi,concept
cardinal segment of brain,Hauptabschnitt des Gehirns,Segmentum cardinale encephali,concept
cardinal tissue part,Gewebehauptteil,Pars cardinalis textus,concept
cardiovascular system,Herz-Kreislauf-System,Systema cardiovasculare,concept
carpal bone,Handwurzelknochen,Os carpi,concept
cartilage organ,Knorpel,Cartilago,concept
cartilage organ component,Knorpelkomponente,Componens cartilaginis,concept
cartilaginous part of nasal septum,Knorpeliger Teil der Nasenscheidewand,Pars cartilaginea septi nasi,concept
cartilaginous skeleton of external nose,Knorpelskelett der äußeren Nase,Sceletum cartilagineum nasi externi,concept
cartilaginous skeleton of nose,Knorpelskelett der Nase,Sceletum cartilagineum nasi,concept
caudate nucleus,Schweifkern,Nucleus caudatus,concept
cavernous organ,Schwellkörperorgan,Organum cavernosum,concept
cavitated organ,Organ mit Hohlraum,Organum cavitatum,concept
cavity of atrium,Höhle des Vorhofs,Cavitas atrii,concept
cavity of cardiac chamber,Höhle der Herzhöhle,Cavitas camerae cordis,concept
cavity of neuraxis,Höhle der Neuraxis,Cavitas neuraxis,concept
cavity of organ part,Höhle des Organteils,Cavitas partis organi,concept
cavity of ventricle,Höhle der Herzkammer,Cavitas ventriculi,concept
cecum,Blinddarm,Caecum,concept
cell part cluster,Zellteil-Cluster,Aggregatum partium cellularum,concept
cell part cluster of neuraxis,Zellteil-Cluster der Neuraxis,Aggregatum partium cellularum neuraxis,concept
cephalic vein,Kopfvene,Vena cephalica,concept
cerebral arterial circle,Hirnarterienkreis,Circulus arteriosus cerebri,concept
cerebral white matter,Weiße Substanz des Großhirns,Substantia alba cerebri,concept
cervical rotator,Halsdrehmuskel,Musculus rotator cervicis,concept
cervical vertebra,Halswirbel,Vertebra cervicalis,concept
cervical vertebral column,Halswirbelsäule,Columna vertebralis cervicalis,concept
chamber of eyeball,Kammer des Augapfels,Camera bulbi oculi,concept
check ligament of lateral rectus,Hemmungsband des seitlichen geraden Augenmuskels,Lacertus musculi recti lateralis,concept
check ligament of medial rectus,Hemmungsband des inneren geraden Augenmuskels,Lacertus musculi recti medialis,concept
chest wall,Brustwand,Paries pectoris,concept
choroid,Aderhaut,Choroidea,concept
ciliary ganglion,Ziliarganglion,Ganglion ciliare,concept
cingulate gyrus,Gürtelwindung,Gyrus cinguli,concept
circumflex scapular artery,Schulterblatt-Zirkumflexarterie,Arteria circumflexa scapulae,concept
circumflex scapular vein,Schulterblatt-Zirkumflexvene,Vena circumflexa scapulae,concept
circumventricular organ of neuraxis,Zirkumventrikuläres Organ der Neuraxis,Organum circumventriculare neuraxis,concept
clavicle,Schlüsselbein,Clavicula,concept
clavicular part of deltoid,Schlüsselbeinanteil des Deltamuskels,Pars clavicularis musculi deltoidei,concept
clavicular part of pectoralis major,Schlüsselbeinanteil des großen Brustmuskels,Pars clavicularis musculi pectoralis majoris,concept
coccygeus,Steißbeinmuskel,Musculus coccygeus,concept
commissure of diencephalon,Kommissur des Zwischenhirns,Commissura diencephali,concept
commissure of neuraxis,Kommissur der Neuraxis,Commissura neuraxis,concept
common carotid artery,Gemeinsame Halsschlagader,Arteria carotis communis,concept
common iliac artery,Gemeinsame Beckenarterie,Arteria iliaca communis,concept
common iliac vein,Gemeinsame Beckenvene,Vena iliaca communis,concept
common interosseous artery,Gemeinsame Zwischenknochenarterie,Arteria interossea communis,concept
common tendinous ring,Gemeinsamer Sehnenring,Anulus tendineus communis,concept
communicating branch of nasociliary nerve with ciliary ganglion,Verbindungsast des Nasoziliarnervs zum Ziliarganglion,Ramus communicans nervi nasociliaris cum ganglio ciliari,concept
compartment of abdomen,Kompartiment des Bauches,Compartimentum abdominis,concept
compartment of thorax,Kompartiment des Brustkorbs,Compartimentum thoracis,concept
constrictor muscle of pharynx,Schlundschnürer,Musculus constrictor pharyngis,concept
content of abdomen,Inhalt des Bauches,Contentum abdominis,concept
content of anterior mediastinum,Inhalt des vorderen Mittelfellraums,Contentum mediastini anterioris,concept
content of inferior mediastinum,Inhalt des unteren Mittelfellraums,Contentum mediastini inferioris,concept
content of mediastinum,Inhalt des Mittelfellraums,Contentum mediastini,concept
content of middle mediastinum,Inhalt des mittleren Mittelfellraums,Contentum mediastini medii,concept
content of posterior mediastinum,Inhalt des hinteren Mittelfellraums,Contentum mediastini posterioris,concept
content of superior mediastinum,Inhalt des oberen Mittelfellraums,Contentum mediastini superioris,concept
content of thorax,Inhalt des Brustkorbs,Contentum thoracis,concept
conus elasticus,Conus elasticus,Conus elasticus,concept
coracobrachialis,Hakenarmmuskel,Musculus coracobrachialis,concept
cornea,Hornhaut,Cornea,concept
corniculate cartilage,Spitzenknorpel,Cartilago corniculata,concept
corona ciliaris,Ziliarkranz,Corona ciliaris,concept
coronary artery,Koronararterie,Arteria coronaria,concept
coronary sinus tree,Koronarsinusbaum,Arbor sinus coronarii,concept
cortex of left cerebral hemisphere,Rinde der linken Großhirnhemisphäre,Cortex hemispherii cerebri sinistri,concept
cortex of left frontal lobe,Rinde des linken Stirnlappens,Cortex lobi frontalis sinistri,concept
cortex of right cerebral hemisphere,Rinde der rechten Großhirnhemisphäre,Cortex hemispherii cerebri dextri,concept
cortex of right frontal lobe,Rinde des rechten Stirnlappens,Cortex lobi frontalis dextri,concept
corticomedullary organ,Rinden-Mark-Organ,Organum corticomedullare,concept
costal cartilage,Rippenknorpel,Cartilago costalis,concept
costocervical trunk,Rippen-Hals-Stamm,Truncus costocervicalis,concept
cranial nerve,Hirnnerv,Nervus cranialis,concept
cranial parasympathetic ganglion,Kraniales parasympathisches Ganglion,Ganglion parasympathicum craniale,concept
cricothyroid ligament,Ringknorpel-Schildknorpel-Band,Ligamentum cricothyroideum,concept
cuboid bone,Würfelbein,Os cuboideum,concept
cuneiform bone,Keilbein,Os cuneiforme,concept
cuneiform cartilage,Keilknorpel des Kehlkopfs,Cartilago cuneiformis,concept
cusp of aortic valve,Tasche der Aortenklappe,Valvula valvae aortae,concept
cusp of cardiac valve,Tasche der Herzklappe,Valvula valvae cordis,concept
cusp of pulmonary valve,Tasche der Pulmonalklappe,Valvula valvae trunci pulmonalis,concept
decussation,Kreuzung,Decussatio,concept
deep brachial artery,Tiefe Oberarmarterie,Arteria profunda brachii,concept
deep cervical artery,Tiefe Halsarterie,Arteria cervicalis profunda,concept
deep extrinsic muscle of shoulder,Tiefer extrinsischer Schultermuskel,Musculus extrinsecus profundus regionis deltoideae,concept
deep fascial system,Tiefes Fasziensystem,Systema fasciarum profundarum,concept
deep femoral vein,Tiefe Oberschenkelvene,Vena profunda femoris,concept
deep muscle of anterior compartment of forearm,Tiefer Muskel der vorderen Unterarmloge,Musculus profundus compartimenti antebrachii anterioris,concept
deep muscle of posterior compartment of forearm,Tiefer Muskel der hinteren Unterarmloge,Musculus profundus compartimenti antebrachii posterioris,concept
deep muscle of posterior compartment of leg,Tiefer Muskel der hinteren Unterschenkelloge,Musculus profundus compartimenti cruris posterioris,concept
deep palmar arterial arch,Tiefer Hohlhandbogen,Arcus palmaris profundus,concept
deep palmar venous arch,Tiefer Hohlhand-Venenbogen,Arcus venosus palmaris profundus,concept
deep plantar artery,Tiefe Fußsohlenarterie,Arteria plantaris profunda,concept
deep postvertebral muscle,Tiefer Rückenmuskel,Musculus dorsi profundus,concept
deferent duct,Samenleiter,Ductus deferens,concept
deltoid branch of thoraco-acromial artery,Deltaast der Brust-Schulterhöhen-Arterie,Ramus deltoideus arteriae thoracoacromialis,concept
descending branch of lateral circumflex femoral artery,Absteigender Ast der seitlichen Oberschenkel-Zirkumflexarterie,Ramus descendens arteriae circumflexae femoris lateralis,concept
descending genicular artery,Absteigende Kniearterie,Arteria descendens genus,concept
descending part of trapezius,Absteigender Anteil des Trapezmuskels,Pars descendens musculi trapezii,concept
diencephalon,Zwischenhirn,Diencephalon,concept
digastric,Zweibäuchiger Muskel,Musculus digastricus,concept
digital artery of foot,Zehenarterie,Arteria digitalis pedis,concept
distal carpal bone,Distaler Handwurzelknochen,Os carpi distale,concept
distal phalanx of big toe,Endphalanx der Großzehe,Phalanx distalis hallucis,concept
distal phalanx of fourth toe,Endphalanx der vierten Zehe,Phalanx distalis digiti quarti pedis,concept
distal phalanx of index finger,Endphalanx des Zeigefingers,Phalanx distalis indicis,concept
distal phalanx of little finger,Endphalanx des Kleinfingers,Phalanx distalis digiti minimi manus,concept
distal phalanx of little toe,Endphalanx der Kleinzehe,Phalanx distalis digiti minimi pedis,concept
distal phalanx of middle finger,Endphalanx des Mittelfingers,Phalanx distalis digiti medii,concept
distal phalanx of ring finger,Endphalanx des Ringfingers,Phalanx distalis digiti anularis,concept
distal phalanx of second toe,Endphalanx der zweiten Zehe,Phalanx distalis digiti secundi pedis,concept
distal phalanx of third toe,Endphalanx der dritten Zehe,Phalanx distalis digiti tertii pedis,concept
distal phalanx of thumb,Endphalanx des Daumens,Phalanx distalis pollicis,concept
dorsal artery of penis,Dorsale Penisarterie,Arteria dorsalis penis,concept
dorsal carpal branch of radial artery,Dorsaler Handwurzelast der Speichenarterie,Ramus carpalis dorsalis arteriae radialis,concept
dorsal carpal branch of ulnar artery,Dorsaler Handwurzelast der Ellenarterie,Ramus carpalis dorsalis arteriae ulnaris,concept
dorsal scapular artery,Dorsale Schulterblattarterie,Arteria dorsalis scapulae,concept
dorsal venous arch of foot,Dorsaler Fußvenenbogen,Arcus venosus dorsalis pedis,concept
dorsal venous network of hand,Dorsales Handvenennetz,Rete venosum dorsale manus,concept
dorsalis pedis artery,Fußrückenarterie,Arteria dorsalis pedis,concept
dorsum of nose,Nasenrücken,Dorsum nasi,concept
duct,Gang,Ductus,concept
eighth rib,Achte Rippe,Costa octava,concept
eighth thoracic intervertebral symphysis,Achte Brustwirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis thoracica octava,concept
eleventh rib,Elfte Rippe,Costa undecima,concept
eleventh thoracic intervertebral symphysis,Elfte Brustwirbel-Zwischenwirbelsymphyse,Symphysis intervertebralis thoracica undecima,concept
endocrine system,Endokrines System,Systema endocrinum,concept
epididymis,Nebenhoden,Epididymis,concept
epithalamus,Epithalamus,Epithalamus,concept
extensor carpi radialis brevis,Kurzer speichenseitiger Handstrecker,Musculus extensor carpi radialis brevis,concept
extensor carpi radialis longus,Langer speichenseitiger Handstrecker,Musculus extensor carpi radialis longus,concept
extensor carpi ulnaris,Ellenseitiger Handstrecker,Musculus extensor carpi ulnaris,concept
extensor digiti minimi,Kleinfingerstrecker,Musculus extensor digiti minimi,concept
extensor digitorum,Fingerstrecker,Musculus extensor digitorum,concept
extensor digitorum longus,Langer Zehenstrecker,Musculus extensor digitorum longus,concept
extensor hallucis brevis,Kurzer Großzehenstrecker,Musculus extensor hallucis brevis,concept
extensor hallucis longus,Langer Großzehenstrecker,Musculus extensor hallucis longus,concept
extensor indicis,Zeigefingerstrecker,Musculus extensor indicis,concept
extensor pollicis brevis,Kurzer Daumenstrecker,Musculus extensor pollicis brevis,concept
extensor pollicis longus,Langer Daumenstrecker,Musculus extensor pollicis longus,concept
external iliac artery,Äußere Beckenarterie,Arteria iliaca externa,concept
external iliac vein,Äußere Beckenvene,Vena iliaca externa,concept
external nose,Äußere Nase,Nasus externus,concept
external oblique,Äußerer schräger Bauchmuskel,Musculus obliquus externus abdominis,concept
extra-ocular muscle,Äußerer Augenmuskel,Musculus externus bulbi oculi,concept
