english,german,latin,system
right frontal nerve,Rechter Stirnnerv,Nervus frontalis dexter,nervous
right fusiform gyrus,Rechte Spindelförmige Windung,Gyrus fusiformis dexter,nervous
right globus pallidus,Rechtes Pallidum,Globus pallidus dexter,nervous
right hippocampus,Rechter Hippocampus,Hippocampus dexter,nervous
right inferior colliculus,Rechter unterer Hügel,Colliculus inferior dexter,nervous
right inferior frontal gyrus,Rechte untere Stirnwindung,Gyrus frontalis inferior dexter,nervous
right inferior temporal gyrus,Rechte untere Schläfenwindung,Gyrus temporalis inferior dexter,nervous
right infratrochlear nerve,Rechter Nervus infratrochlearis,Nervus infratrochlearis dexter,nervous
right insula,Rechte Inselrinde,Insula dextra,nervous
right internal capsule,Rechte innere Kapsel,Capsula interna dextra,nervous
right lacrimal nerve,Rechter Tränennerv,Nervus lacrimalis dexter,nervous
right lateral geniculate body,Rechter seitlicher Kniehöcker,Corpus geniculatum laterale dextrum,nervous
right long ciliary nerve,Rechter langer Ziliarnerv,Nervus ciliaris longus dexter,nervous
right medial geniculate body,Rechter medialer Kniehöcker,Corpus geniculatum mediale dextrum,nervous
right middle frontal gyrus,Rechte mittlere Stirnwindung,Gyrus frontalis medius dexter,nervous
right middle temporal gyrus,Rechte mittlere Schläfenwindung,Gyrus temporalis medius dexter,nervous
right nasociliary nerve,Rechter Nasoziliarnerv,Nervus nasociliaris dexter,nervous
right occipital lobe,Rechter Hinterhauptslappen,Lobus occipitalis dexter,nervous
right ophthalmic nerve,Rechter Augennerv,Nervus ophthalmicus dexter,nervous
right optic nerve,Rechter Sehnerv,Nervus opticus dexter,nervous
right optic tract,Rechte Sehbahn,Tractus opticus dexter,nervous
right parahippocampal gyrus,Rechte Parahippocampale Windung,Gyrus parahippocampalis dexter,nervous
right postcentral gyrus,Rechte hintere Zentralwindung,Gyrus postcentralis dexter,nervous
right posterior ethmoidal nerve,Rechter hinterer Siebbeinnerv,Nervus ethmoidalis posterior dexter,nervous
right precentral gyrus,Rechte vordere Zentralwindung,Gyrus precentralis dexter,nervous
right putamen,Rechtes Putamen,Putamen dextrum,nervous
right stria medullaris of thalamus,Rechter Markstreifen des Thalamus,Stria medullaris thalami dextra,nervous
right superior colliculus,Rechter oberer Hügel,Colliculus superior dexter,nervous
right superior frontal gyrus,Rechte obere Stirnwindung,Gyrus frontalis superior dexter,nervous
right superior parietal lobule,Rechtes oberes Scheitelläppchen,Lobulus parietalis superior dexter,nervous
right supra-orbital nerve,Rechter oberer Augenhöhlennerv,Nervus supraorbitalis dexter,nervous
right supramarginal gyrus,Rechter Gyrus supramarginalis,Gyrus supramarginalis dexter,nervous
right supratrochlear nerve,Rechter Nervus supratrochlearis,Nervus supratrochlearis dexter,nervous
right thalamus,Rechter Thalamus,Thalamus dexter,nervous
right trochlear nerve,Rechter Rollnerv,Nervus trochlearis dexter,nervous
septum of telencephalon,Septum des Endhirns,Septum telencephali,nervous
short ciliary nerve,Kurzer Ziliarnerv,Nervus ciliaris brevis,nervous
stria terminalis,Stria terminalis,Stria terminalis,nervous
superior branch of left oculomotor nerve,Oberer Ast des linken Augenbewegungsnervs,Ramus superior nervi oculomotorii sinistri,nervous
superior branch of right oculomotor nerve,Oberer Ast des rechten Augenbewegungsnervs,Ramus superior nervi oculomotorii dextri,nervous
tentorium cerebelli,Kleinhirnzelt,Tentorium cerebelli,nervous
tuber cinereum,Tuber cinereum,Tuber cinereum,nervous
white matter of left cerebral hemisphere,Weiße Substanz der linken Großhirnhemisphäre,Substantia alba hemispherii cerebri sinistri,nervous
white matter of right cerebral hemisphere,Weiße Substanz der rechten Großhirnhemisphäre,Substantia alba hemispherii cerebri dextri,nervous
