english,german,latin,system
bronchial artery,Bronchialarterie,Arteria bronchialis,arterial
bronchial branch of arch of aorta,Bronchialast des Aortenbogens,Ramus bronchialis arcus aortae,arterial
caudal pancreatic artery,Pankreasschwanzarterie,Arteria caudae pancreatis,arterial
caudate lobe branch of left hepatic artery,Schwanzlappenast der linken Leberarterie,Ramus lobi caudati arteriae hepaticae sinistrae,arterial
caudate lobe branch of right hepatic artery,Schwanzlappenast der rechten Leberarterie,Ramus lobi caudati arteriae hepaticae dextrae,arterial
celiac artery,Eingeweidearterie,Arteria coeliaca,arterial
celiac trunk,Eingeweidestamm,Truncus coeliacus,arterial
circumflex branch of left coronary artery,Zirkumflexast der linken Koronararterie,Ramus circumflexus arteriae coronariae sinistrae,arterial
common hepatic artery,Gemeinsame Leberarterie,Arteria hepatica communis,arterial
conus branch of anterior interventricular branch of left coronary artery,Konusast des vorderen Zwischenkammerastes der linken Koronararterie,Ramus coni arteriosi rami interventricularis anterioris arteriae coronariae sinistrae,arterial
deltoid branch of left thoraco-acromial artery,Deltaast der linken Brust-Schulterhöhen-Arterie,Ramus deltoideus arteriae thoracoacromialis sinistrae,arterial
deltoid branch of right thoraco-acromial artery,Deltaast der rechten Brust-Schulterhöhen-Arterie,Ramus deltoideus arteriae thoracoacromialis dextrae,arterial
descending aorta,Absteigende Aorta,Aorta descendens,arterial
descending branch of left colic artery,Absteigender Ast der linken Dickdarmarterie,Ramus descendens arteriae colicae sinistrae,arterial
descending branch of left lateral circumflex femoral artery,Absteigender Ast der linken seitlichen Oberschenkel-Zirkumflexarterie,Ramus descendens arteriae circumflexae femoris lateralis sinistrae,arterial
descending branch of right lateral circumflex femoral artery,Absteigender Ast der rechten seitlichen Oberschenkel-Zirkumflexarterie,Ramus descendens arteriae circumflexae femoris lateralis dextrae,arterial
descending thoracic aorta,Absteigende Brustaorta,Aorta thoracica descendens,arterial
diagonal branch of anterior descending branch of left coronary artery,Diagonaler Ast des vorderen absteigenden Astes der linken Koronararterie,Ramus diagonalis rami interventricularis anterioris arteriae coronariae sinistrae,arterial
distal perforating artery,Distale Perforansarterie,Arteria perforans distalis,arterial
dorsal carpal branch of left radial artery,Dorsaler Handwurzelast der linken Speichenarterie,Ramus carpalis dorsalis arteriae radialis sinistrae,arterial
dorsal carpal branch of right radial artery,Dorsaler Handwurzelast der rechten Speichenarterie,Ramus carpalis dorsalis arteriae radialis dextrae,arterial
dorsal digital artery of foot,Dorsale Zehenarterie,Arteria digitalis dorsalis pedis,arterial
dorsal pancreatic artery,Dorsale Pankreasarterie,Arteria pancreatica dorsalis,arterial
esophageal artery,Speiseröhrenarterie,Arteria oesophagea,arterial
first anterior ventricular branch of right coronary artery,Erster vorderer Kammerast der rechten Koronararterie,Ramus ventricularis anterior primus arteriae coronariae dextrae,arterial
first posterior ventricular branch of right coronary artery,Erster hinterer Kammerast der rechten Koronararterie,Ramus ventricularis posterior primus arteriae coronariae dextrae,arterial
first right anterior branch of anterior interventricular branch of left coronary artery,Erster rechter vorderer Ast des vorderen Zwischenkammerastes der linken Koronararterie,Ramus anterior dexter primus rami interventricularis anterioris arteriae coronariae sinistrae,arterial
first septal branch of right posterior interventricular artery,Erster Septumast der rechten hinteren Zwischenkammerarterie,Ramus septalis primus arteriae interventricularis posterioris dextrae,arterial
great pancreatic artery,Große Pankreasarterie,Arteria pancreatica magna,arterial
hepatic artery proper,Eigentliche Leberarterie,Arteria hepatica propria,arterial
hypothalamic branch of left posterior communicating artery,Hypothalamusast der linken hinteren Verbindungsarterie,Ramus hypothalamicus arteriae communicantis posterioris sinistrae,arterial
hypothalamic branch of right posterior communicating artery,Hypothalamusast der rechten hinteren Verbindungsarterie,Ramus hypothalamicus arteriae communicantis posterioris dextrae,arterial
ileal artery,Krummdarmarterie,Arteria ilealis,arterial
ileal branch of inferior branch of ileocolic artery,Krummdarmast des unteren Astes der Ileokolikarterie,Ramus ilealis rami inferioris arteriae ileocolicae,arterial
ileocolic artery,Ileokolikarterie,Arteria ileocolica,arterial
inferior branch of medial segmental artery,Unterer Ast der medialen Segmentarterie,Ramus inferior arteriae segmentalis medialis,arterial
inferior lingular artery,Untere Lingula-Arterie,Arteria lingularis inferior,arterial
inferior mesenteric artery,Untere Gekrösearterie,Arteria mesenterica inferior,arterial
inferior pancreatic artery,Untere Pankreasarterie,Arteria pancreatica inferior,arterial
inferior pancreaticoduodenal artery,Untere Pankreas-Duodenal-Arterie,Arteria pancreaticoduodenalis inferior,arterial
inferior segmental branch of left renal artery,Unterer Segmentast der linken Nierenarterie,Ramus segmentalis inferior arteriae renalis sinistrae,arterial
inferior segmental branch of right renal artery,Unterer Segmentast der rechten Nierenarterie,Ramus segmentalis inferior arteriae renalis dextrae,arterial
insular part of left middle cerebral artery,Insulärer Teil der linken mittleren Hirnarterie,Pars insularis arteriae cerebri mediae sinistrae,arterial
insular part of right middle cerebral artery,Insulärer Teil der rechten mittleren Hirnarterie,Pars insularis arteriae cerebri mediae dextrae,arterial
intermediomedial branch of left callosomarginal artery,Intermediomedialer Ast der linken Callosomarginalarterie,Ramus intermediomedialis arteriae callosomarginalis sinistrae,arterial
intermediomedial branch of right callosomarginal artery,Intermediomedialer Ast der rechten Callosomarginalarterie,Ramus intermediomedialis arteriae callosomarginalis dextrae,arterial
lateral branch of left pontine artery,Seitlicher Ast der linken Brückenarterie,Ramus lateralis arteriae pontis sinistrae,arterial
lateral branch of left superior cerebellar artery,Seitlicher Ast der linken oberen Kleinhirnarterie,Ramus lateralis arteriae superioris cerebelli sinistrae,arterial
lateral branch of right anterior basal segmental artery,Seitlicher Ast der rechten vorderen basalen Segmentarterie,Ramus lateralis arteriae segmentalis basalis anterioris dextrae,arterial
lateral branch of right lateral basal segmental artery,Seitlicher Ast der rechten seitlichen basalen Segmentarterie,Ramus lateralis arteriae segmentalis basalis lateralis dextrae,arterial
lateral branch of right pontine artery,Seitlicher Ast der rechten Brückenarterie,Ramus lateralis arteriae pontis dextrae,arterial
lateral branch of right superior cerebellar artery,Seitlicher Ast der rechten oberen Kleinhirnarterie,Ramus lateralis arteriae superioris cerebelli dextrae,arterial
lateral branch of right superior segmental artery,Seitlicher Ast der rechten oberen Segmentarterie,Ramus lateralis arteriae segmentalis superioris dextrae,arterial
lateral inferior segmental hepatic artery,Seitliche untere Lebersegmentarterie,Arteria segmentalis hepatica lateralis inferior,arterial
lateral proper palmar digital artery of left little finger,Seitliche eigentliche Hohlhand-Fingerarterie des linken Kleinfingers,Arteria digitalis palmaris propria lateralis digiti minimi sinistri,arterial
lateral proper palmar digital artery of left middle finger,Seitliche eigentliche Hohlhand-Fingerarterie des linken Mittelfingers,Arteria digitalis palmaris propria lateralis digiti medii sinistri,arterial
lateral proper palmar digital artery of left ring finger,Seitliche eigentliche Hohlhand-Fingerarterie des linken Ringfingers,Arteria digitalis palmaris propria lateralis digiti anularis sinistri,arterial
lateral proper palmar digital artery of right little finger,Seitliche eigentliche Hohlhand-Fingerarterie des rechten Kleinfingers,Arteria digitalis palmaris propria lateralis digiti minimi dextri,arterial
lateral proper palmar digital artery of right middle finger,Seitliche eigentliche Hohlhand-Fingerarterie des rechten Mittelfingers,Arteria digitalis palmaris propria lateralis digiti medii dextri,arterial
lateral proper palmar digital artery of right ring finger,Seitliche eigentliche Hohlhand-Fingerarterie des rechten Ringfingers,Arteria digitalis palmaris propria lateralis digiti anularis dextri,arterial
lateral superior segmental hepatic artery,Seitliche obere Lebersegmentarterie,Arteria segmentalis hepatica lateralis superior,arterial
laterobasal branch of right posterior basal segmental artery,Laterobasaler Ast der rechten hinteren basalen Segmentarterie,Ramus laterobasalis arteriae segmentalis basalis posterioris dextrae,arterial
left anterior basal segmental artery,Linke vordere basale Segmentarterie,Arteria segmentalis basalis anterior sinistra,arterial
left anterior cerebral artery,Linke vordere Hirnarterie,Arteria cerebri anterior sinistra,arterial
left anterior choroidal artery,Linke vordere Aderhautarterie,Arteria choroidea anterior sinistra,arterial
left anterior circumflex humeral artery,Linke vordere Oberarm-Zirkumflexarterie,Arteria circumflexa humeri anterior sinistra,arterial
left anterior interosseous artery,Linke vordere Zwischenknochenarterie,Arteria interossea anterior sinistra,arterial
left anterior parietal artery,Linke vordere Scheitellappenarterie,Arteria parietalis anterior sinistra,arterial
left anterior segmental artery,Linke vordere Segmentarterie,Arteria segmentalis anterior sinistra,arterial
left anterior spinal artery,Linke vordere Rückenmarksarterie,Arteria spinalis anterior sinistra,arterial
left anterior temporal artery,Linke vordere Schläfenlappenarterie,Arteria temporalis anterior sinistra,arterial
left anterior tibial artery,Linke vordere Schienbeinarterie,Arteria tibialis anterior sinistra,arterial
left anterior tibial recurrent artery,Linke vordere rückläufige Schienbeinarterie,Arteria recurrens tibialis anterior sinistra,arterial
left anterior ulnar recurrent artery,Linke vordere rückläufige Ellenarterie,Arteria recurrens ulnaris anterior sinistra,arterial
left apical segmental artery,Linke apikale Segmentarterie,Arteria segmentalis apicalis sinistra,arterial
left arcuate artery,Linke Bogenarterie,Arteria arcuata sinistra,arterial
left arteria princeps pollicis,Linke Hauptdaumenarterie,Arteria princeps pollicis sinistra,arterial
left arteria radialis indicis,Linke speichenseitige Zeigefingerarterie,Arteria radialis indicis sinistra,arterial
left axillary artery,Linke Achselarterie,Arteria axillaris sinistra,arterial
left brachial artery,Linke Oberarmarterie,Arteria brachialis sinistra,arterial
left callosomarginal artery,Linke Callosomarginalarterie,Arteria callosomarginalis sinistra,arterial
left circumflex scapular artery,Linke Schulterblatt-Zirkumflexarterie,Arteria circumflexa scapulae sinistra,arterial
left colic artery,Linke Dickdarmarterie,Arteria colica sinistra,arterial
left common carotid artery,Linke gemeinsame Halsschlagader,Arteria carotis communis sinistra,arterial
left common iliac artery,Linke gemeinsame Beckenarterie,Arteria iliaca communis sinistra,arterial
left common interosseous artery,Linke gemeinsame Zwischenknochenarterie,Arteria interossea communis sinistra,arterial
left costocervical trunk,Linker Rippen-Hals-Stamm,Truncus costocervicalis sinister,arterial
left deep brachial artery,Linke tiefe Oberarmarterie,Arteria profunda brachii sinistra,arterial
left deep cervical artery,Linke tiefe Halsarterie,Arteria cervicalis profunda sinistra,arterial
left deep palmar arch,Linker tiefer Hohlhandbogen,Arcus palmaris profundus sinister,arterial
left deep plantar artery,Linke tiefe Fußsohlenarterie,Arteria plantaris profunda sinistra,arterial
left descending genicular artery,Linke absteigende Kniearterie,Arteria descendens genus sinistra,arterial
left dorsal artery of penis,Linke dorsale Penisarterie,Arteria dorsalis penis sinistra,arterial
left dorsal carpal branch of ulnar artery,Linker dorsaler Handwurzelast der Ellenarterie,Ramus carpalis dorsalis sinister arteriae ulnaris,arterial
left dorsal scapular artery,Linke dorsale Schulterblattarterie,Arteria dorsalis scapulae sinistra,arterial
left dorsalis pedis artery,Linke Fußrückenarterie,Arteria dorsalis pedis sinistra,arterial
left external iliac artery,Linke äußere Beckenarterie,Arteria iliaca externa sinistra,arterial
left femoral artery,Linke Oberschenkelarterie,Arteria femoralis sinistra,arterial
left first common palmar digital artery,Linke erste gemeinsame Hohlhand-Fingerarterie,Arteria digitalis palmaris communis prima sinistra,arterial
left first posterior intercostal artery,Linke erste hintere Zwischenrippenarterie,Arteria intercostalis posterior prima sinistra,arterial
left fourth common palmar digital artery,Linke vierte gemeinsame Hohlhand-Fingerarterie,Arteria digitalis palmaris communis quarta sinistra,arterial
left gastric artery,Linke Magenarterie,Arteria gastrica sinistra,arterial
left gastro-epiploic artery,Linke Magen-Netz-Arterie,Arteria gastroomentalis sinistra,arterial
left inferior epigastric artery,Linke untere Bauchdeckenarterie,Arteria epigastrica inferior sinistra,arterial
left inferior lateral genicular artery,Linke untere seitliche Kniearterie,Arteria inferior lateralis genus sinistra,arterial
left inferior medial genicular artery,Linke untere mediale Kniearterie,Arteria inferior medialis genus sinistra,arterial
left inferior phrenic artery,Linke untere Zwerchfellarterie,Arteria phrenica inferior sinistra,arterial
left inferior suprarenal artery,Linke untere Nebennierenarterie,Arteria suprarenalis inferior sinistra,arterial
left inferior thyroid artery,Linke untere Schilddrüsenarterie,Arteria thyroidea inferior sinistra,arterial
left inferior ulnar collateral artery,Linke untere Ellen-Kollateralarterie,Arteria collateralis ulnaris inferior sinistra,arterial
left internal carotid artery,Linke innere Halsschlagader,Arteria carotis interna sinistra,arterial
left internal iliac artery,Linke innere Beckenarterie,Arteria iliaca interna sinistra,arterial
left internal thoracic artery,Linke innere Brustwandarterie,Arteria thoracica interna sinistra,arterial
left lateral basal segmental artery,Linke seitliche basale Segmentarterie,Arteria segmentalis basalis lateralis sinistra,arterial
left lateral circumflex femoral artery,Linke seitliche Oberschenkel-Zirkumflexarterie,Arteria circumflexa femoris lateralis sinistra,arterial
left lateral frontobasal artery,Linke seitliche Frontobasalarterie,Arteria frontobasalis lateralis sinistra,arterial
left lateral occipital artery,Linke seitliche Hinterhauptarterie,Arteria occipitalis lateralis sinistra,arterial
left lateral plantar artery,Linke seitliche Fußsohlenarterie,Arteria plantaris lateralis sinistra,arterial
left lateral superior genicular artery,Linke obere seitliche Kniearterie,Arteria superior lateralis genus sinistra,arterial
left lateral tarsal artery,Linke seitliche Fußwurzelarterie,Arteria tarsalis lateralis sinistra,arterial
left lateral thoracic artery,Linke seitliche Brustwandarterie,Arteria thoracica lateralis sinistra,arterial
left lobe branch of left hepatic artery,Linkslappenast der linken Leberarterie,Ramus lobi sinistri arteriae hepaticae sinistrae,arterial
left medial basal segmental artery,Linke mediale basale Segmentarterie,Arteria segmentalis basalis medialis sinistra,arterial
left medial frontobasal artery,Linke mediale Frontobasalarterie,Arteria frontobasalis medialis sinistra,arterial
left medial occipital artery,Linke mediale Hinterhauptarterie,Arteria occipitalis medialis sinistra,arterial
left medial plantar artery,Linke mediale Fußsohlenarterie,Arteria plantaris medialis sinistra,arterial
left medial superior genicular artery,Linke obere mediale Kniearterie,Arteria superior medialis genus sinistra,arterial
left middle genicular artery,Linke mittlere Kniearterie,Arteria media genus sinistra,arterial
left middle suprarenal artery,Linke mittlere Nebennierenarterie,Arteria suprarenalis media sinistra,arterial
left musculophrenic artery,Linke Muskel-Zwerchfell-Arterie,Arteria musculophrenica sinistra,arterial
left ophthalmic artery,Linke Augenarterie,Arteria ophthalmica sinistra,arterial
left palmar metacarpal artery,Linke Hohlhand-Mittelhandarterie,Arteria metacarpalis palmaris sinistra,arterial
left pericallosal artery,Linke Perikallosalarterie,Arteria pericallosa sinistra,arterial
left plantar arch,Linker Fußsohlenbogen,Arcus plantaris sinister,arterial
left polar temporal artery,Linke polare Schläfenlappenarterie,Arteria polaris temporalis sinistra,arterial
left popliteal artery,Linke Kniekehlenarterie,Arteria poplitea sinistra,arterial
left posterior basal segmental artery,Linke hintere basale Segmentarterie,Arteria segmentalis basalis posterior sinistra,arterial
left posterior circumflex humeral artery,Linke hintere Oberarm-Zirkumflexarterie,Arteria circumflexa humeri posterior sinistra,arterial
left posterior communicating artery,Linke hintere Verbindungsarterie,Arteria communicans posterior sinistra,arterial
left posterior inferior cerebellar artery,Linke hintere untere Kleinhirnarterie,Arteria inferior posterior cerebelli sinistra,arterial
left posterior medial choroidal artery,Linke hintere mediale Aderhautarterie,Arteria choroidea posterior medialis sinistra,arterial
left posterior parietal artery,Linke hintere Scheitellappenarterie,Arteria parietalis posterior sinistra,arterial
left posterior segmental artery,Linke hintere Segmentarterie,Arteria segmentalis posterior sinistra,arterial
left posterior tibial artery,Linke hintere Schienbeinarterie,Arteria tibialis posterior sinistra,arterial
left posterior ulnar recurrent artery,Linke hintere rückläufige Ellenarterie,Arteria recurrens ulnaris posterior sinistra,arterial
left prefrontal artery,Linke Präfrontalarterie,Arteria prefrontalis sinistra,arterial
left pulmonary artery,Linke Lungenarterie,Arteria pulmonalis sinistra,arterial
left radial artery,Linke Speichenarterie,Arteria radialis sinistra,arterial
left radial recurrent artery,Linke rückläufige Speichenarterie,Arteria recurrens radialis sinistra,arterial
left recurrent interosseous artery,Linke rückläufige Zwischenknochenarterie,Arteria interossea recurrens sinistra,arterial
left renal artery,Linke Nierenarterie,Arteria renalis sinistra,arterial
left second common palmar digital artery,Linke zweite gemeinsame Hohlhand-Fingerarterie,Arteria digitalis palmaris communis secunda sinistra,arterial
left second posterior intercostal artery,Linke zweite hintere Zwischenrippenarterie,Arteria intercostalis posterior secunda sinistra,arterial
left splenial artery,Linke Spleniumarterie,Arteria splenialis sinistra,arterial
left subclavian artery,Linke Unterschlüsselbeinarterie,Arteria subclavia sinistra,arterial
left subcostal artery,Linke Unterrippenarterie,Arteria subcostalis sinistra,arterial
left subscapular artery,Linke Unterschulterblattarterie,Arteria subscapularis sinistra,arterial
left superficial cervical artery,Linke oberflächliche Halsarterie,Arteria cervicalis superficialis sinistra,arterial
left superficial epigastric artery,Linke oberflächliche Bauchdeckenarterie,Arteria epigastrica superficialis sinistra,arterial
left superficial medial plantar artery,Linke oberflächliche mediale Fußsohlenarterie,Arteria plantaris medialis superficialis sinistra,arterial
left superficial palmar arterial arch,Linker oberflächlicher Hohlhandbogen,Arcus palmaris superficialis sinister,arterial
left superior cerebellar artery,Linke obere Kleinhirnarterie,Arteria superior cerebelli sinistra,arterial
left superior epigastric artery,Linke obere Bauchdeckenarterie,Arteria epigastrica superior sinistra,arterial
left superior intercostal artery,Linke oberste Zwischenrippenarterie,Arteria intercostalis suprema sinistra,arterial
left superior segmental artery,Linke obere Segmentarterie,Arteria segmentalis superior sinistra,arterial
left superior ulnar collateral artery,Linke obere Ellen-Kollateralarterie,Arteria collateralis ulnaris superior sinistra,arterial
left suprascapular artery,Linke Oberschulterblattarterie,Arteria suprascapularis sinistra,arterial
left testicular artery,Linke Hodenarterie,Arteria testicularis sinistra,arterial
left thalamogeniculate artery,Linke Thalamogenikulararterie,Arteria thalamogeniculata sinistra,arterial
left thalamoperforating artery,Linke Thalamoperforansarterie,Arteria thalamoperforans sinistra,arterial
left third common palmar digital artery,Linke dritte gemeinsame Hohlhand-Fingerarterie,Arteria digitalis palmaris communis tertia sinistra,arterial
left thoracodorsal artery,Linke Brust-Rücken-Arterie,Arteria thoracodorsalis sinistra,arterial
left thyrocervical trunk,Linker Schilddrüsen-Hals-Stamm,Truncus thyrocervicalis sinister,arterial
left transverse cervical artery,Linke quere Halsarterie,Arteria transversa cervicis sinistra,arterial
left ulnar artery,Linke Ellenarterie,Arteria ulnaris sinistra,arterial
left vertebral artery,Linke Wirbelarterie,Arteria vertebralis sinistra,arterial
lumbar artery,Lendenarterie,Arteria lumbalis,arterial
marginal artery of colon,Dickdarmrandarterie,Arteria marginalis coli,arterial
marginal branch of right coronary artery,Randast der rechten Koronararterie,Ramus marginalis arteriae coronariae dextrae,arterial
marginal colic artery,Dickdarmrandarterie,Arteria marginalis coli,arterial
medial branch of left pontine artery,Medialer Ast der linken Brückenarterie,Ramus medialis arteriae pontis sinistrae,arterial
medial branch of left superior cerebellar artery,Medialer Ast der linken oberen Kleinhirnarterie,Ramus medialis arteriae superioris cerebelli sinistrae,arterial
medial branch of right pontine artery,Medialer Ast der rechten Brückenarterie,Ramus medialis arteriae pontis dextrae,arterial
medial branch of right superior cerebellar artery,Medialer Ast der rechten oberen Kleinhirnarterie,Ramus medialis arteriae superioris cerebelli dextrae,arterial
medial branch of right superior segmental artery,Medialer Ast der rechten oberen Segmentarterie,Ramus medialis arteriae segmentalis superioris dextrae,arterial
medial inferior segmental hepatic artery,Mediale untere Lebersegmentarterie,Arteria segmentalis hepatica medialis inferior,arterial
medial proper palmar digital artery of left index finger,Mediale eigentliche Hohlhand-Fingerarterie des linken Zeigefingers,Arteria digitalis palmaris propria medialis indicis sinistri,arterial
medial proper palmar digital artery of right index finger,Mediale eigentliche Hohlhand-Fingerarterie des rechten Zeigefingers,Arteria digitalis palmaris propria medialis indicis dextri,arterial
medial proper palmar digital artery of right middle finger,Mediale eigentliche Hohlhand-Fingerarterie des rechten Mittelfingers,Arteria digitalis palmaris propria medialis digiti medii dextri,arterial
medial proper palmar digital artery of right ring finger,Mediale eigentliche Hohlhand-Fingerarterie des rechten Ringfingers,Arteria digitalis palmaris propria medialis digiti anularis dextri,arterial
medial superior segmental hepatic artery,Mediale obere Lebersegmentarterie,Arteria segmentalis hepatica medialis superior,arterial
mediobasal branch of right posterior basal segmental artery,Mediobasaler Ast der rechten hinteren basalen Segmentarterie,Ramus mediobasalis arteriae segmentalis basalis posterioris dextrae,arterial
middle colic artery,Mittlere Dickdarmarterie,Arteria colica media,arterial
middle collateral branch of left deep brachial artery,Mittlerer Kollateralast der linken tiefen Oberarmarterie,Ramus collateralis medius arteriae profundae brachii sinistrae,arterial
middle collateral branch of right deep brachial artery,Mittlerer Kollateralast der rechten tiefen Oberarmarterie,Ramus collateralis medius arteriae profundae brachii dextrae,arterial
middle temporal branch of left lateral occipital artery,Mittlerer Schläfenast der linken seitlichen Hinterhauptarterie,Ramus temporalis medius arteriae occipitalis lateralis sinistrae,arterial
middle temporal branch of left middle cerebral artery,Mittlerer Schläfenast der linken mittleren Hirnarterie,Ramus temporalis medius arteriae cerebri mediae sinistrae,arterial
middle temporal branch of right lateral occipital artery,Mittlerer Schläfenast der rechten seitlichen Hinterhauptarterie,Ramus temporalis medius arteriae occipitalis lateralis dextrae,arterial
middle temporal branch of right middle cerebral artery,Mittlerer Schläfenast der rechten mittleren Hirnarterie,Ramus temporalis medius arteriae cerebri mediae dextrae,arterial
paracentral branch of left callosomarginal artery,Parazentraler Ast der linken Callosomarginalarterie,Ramus paracentralis arteriae callosomarginalis sinistrae,arterial
paracentral branch of right callosomarginal artery,Parazentraler Ast der rechten Callosomarginalarterie,Ramus paracentralis arteriae callosomarginalis dextrae,arterial
pectoral branch of left thoraco-acromial artery,Brustast der linken Brust-Schulterhöhen-Arterie,Ramus pectoralis arteriae thoracoacromialis sinistrae,arterial
pectoral branch of right thoraco-acromial artery,Brustast der rechten Brust-Schulterhöhen-Arterie,Ramus pectoralis arteriae thoracoacromialis dextrae,arterial
plantar metatarsal artery,Fußsohlen-Mittelfußarterie,Arteria metatarsalis plantaris,arterial
postcommunicating part of left posterior cerebral artery,Postkommunikaler Teil der linken hinteren Hirnarterie,Pars postcommunicalis arteriae cerebri posterioris sinistrae,arterial
postcommunicating part of right posterior cerebral artery,Postkommunikaler Teil der rechten hinteren Hirnarterie,Pars postcommunicalis arteriae cerebri posterioris dextrae,arterial
posterior branch of lateral segmental artery,Hinterer Ast der seitlichen Segmentarterie,Ramus posterior arteriae segmentalis lateralis,arterial
posterior branch of right anterior segmental artery,Hinterer Ast der rechten vorderen Segmentarterie,Ramus posterior arteriae segmentalis anterioris dextrae,arterial
posterior cecal artery,Hintere Blinddarmarterie,Arteria caecalis posterior,arterial
posterior division of left renal artery,Hinterer Ast der linken Nierenarterie,Ramus posterior arteriae renalis sinistrae,arterial
