english,german,latin,system
distal phalanx of right second toe,Endphalanx der rechten zweiten Zehe,Phalanx distalis digiti secundi pedis dextri,skeletal
distal phalanx of right third toe,Endphalanx der rechten dritten Zehe,Phalanx distalis digiti tertii pedis dextri,skeletal
distal phalanx of right thumb,Endphalanx des rechten Daumens,Phalanx distalis pollicis dextri,skeletal
eighth thoracic vertebra,Achter Brustwirbel,Vertebra thoracica octava,skeletal
eleventh thoracic vertebra,Elfter Brustwirbel,Vertebra thoracica undecima,skeletal
ethmoid,Siebbein,Os ethmoidale,skeletal
fifth cervical vertebra,Fünfter Halswirbel,Vertebra cervicalis quinta,skeletal
fifth lumbar vertebra,Fünfter Lendenwirbel,Vertebra lumbalis quinta,skeletal
fifth thoracic vertebra,Fünfter Brustwirbel,Vertebra thoracica quinta,skeletal
first lumbar vertebra,Erster Lendenwirbel,Vertebra lumbalis prima,skeletal
first thoracic vertebra,Erster Brustwirbel,Vertebra thoracica prima,skeletal
fourth cervical vertebra,Vierter Halswirbel,Vertebra cervicalis quarta,skeletal
fourth lumbar vertebra,Vierter Lendenwirbel,Vertebra lumbalis quarta,skeletal
fourth thoracic vertebra,Vierter Brustwirbel,Vertebra thoracica quarta,skeletal
frontal bone,Stirnbein,Os frontale,skeletal
gingiva of lower jaw,Zahnfleisch des Unterkiefers,Gingiva mandibularis,skeletal
gingiva of upper jaw,Zahnfleisch des Oberkiefers,Gingiva maxillaris,skeletal
hyoid bone,Zungenbein,Os hyoideum,skeletal
intervertebral disk,Bandscheibe,Discus intervertebralis,skeletal
intervertebral disk of axis,Bandscheibe des Axis,Discus intervertebralis axis,skeletal
intervertebral disk of eighth thoracic vertebra,Bandscheibe des achten Brustwirbels,Discus intervertebralis vertebrae thoracicae octavae,skeletal
intervertebral disk of eleventh thoracic vertebra,Bandscheibe des elften Brustwirbels,Discus intervertebralis vertebrae thoracicae undecimae,skeletal
intervertebral disk of fifth cervical vertebra,Bandscheibe des fünften Halswirbels,Discus intervertebralis vertebrae cervicalis quintae,skeletal
intervertebral disk of fifth lumbar vertebra,Bandscheibe des fünften Lendenwirbels,Discus intervertebralis vertebrae lumbalis quintae,skeletal
intervertebral disk of fifth thoracic vertebra,Bandscheibe des fünften Brustwirbels,Discus intervertebralis vertebrae thoracicae quintae,skeletal
intervertebral disk of first lumbar vertebra,Bandscheibe des ersten Lendenwirbels,Discus intervertebralis vertebrae lumbalis primae,skeletal
intervertebral disk of first thoracic vertebra,Bandscheibe des ersten Brustwirbels,Discus intervertebralis vertebrae thoracicae primae,skeletal
intervertebral disk of fourth cervical vertebra,Bandscheibe des vierten Halswirbels,Discus intervertebralis vertebrae cervicalis quartae,skeletal
intervertebral disk of fourth lumbar vertebra,Bandscheibe des vierten Lendenwirbels,Discus intervertebralis vertebrae lumbalis quartae,skeletal
intervertebral disk of fourth thoracic vertebra,Bandscheibe des vierten Brustwirbels,Discus intervertebralis vertebrae thoracicae quartae,skeletal
intervertebral disk of ninth thoracic vertebra,Bandscheibe des neunten Brustwirbels,Discus intervertebralis vertebrae thoracicae nonae,skeletal
intervertebral disk of second lumbar vertebra,Bandscheibe des zweiten Lendenwirbels,Discus intervertebralis vertebrae lumbalis secundae,skeletal
intervertebral disk of second thoracic vertebra,Bandscheibe des zweiten Brustwirbels,Discus intervertebralis vertebrae thoracicae secundae,skeletal
intervertebral disk of seventh cervical vertebra,Bandscheibe des siebten Halswirbels,Discus intervertebralis vertebrae cervicalis septimae,skeletal
intervertebral disk of seventh thoracic vertebra,Bandscheibe des siebten Brustwirbels,Discus intervertebralis vertebrae thoracicae septimae,skeletal
intervertebral disk of sixth cervical vertebra,Bandscheibe des sechsten Halswirbels,Discus intervertebralis vertebrae cervicalis sextae,skeletal
intervertebral disk of sixth thoracic vertebra,Bandscheibe des sechsten Brustwirbels,Discus intervertebralis vertebrae thoracicae sextae,skeletal
intervertebral disk of tenth thoracic vertebra,Bandscheibe des zehnten Brustwirbels,Discus intervertebralis vertebrae thoracicae decimae,skeletal
intervertebral disk of third cervical vertebra,Bandscheibe des dritten Halswirbels,Discus intervertebralis vertebrae cervicalis tertiae,skeletal
intervertebral disk of third lumbar vertebra,Bandscheibe des dritten Lendenwirbels,Discus intervertebralis vertebrae lumbalis tertiae,skeletal
intervertebral disk of third thoracic vertebra,Bandscheibe des dritten Brustwirbels,Discus intervertebralis vertebrae thoracicae tertiae,skeletal
left arytenoid cartilage,Linker Stellknorpel,Cartilago arytenoidea sinistra,skeletal
left calcaneus,Linkes Fersenbein,Calcaneus sinister,skeletal
left capitate,Linkes Kopfbein,Os capitatum sinistrum,skeletal
left clavicle,Linkes Schlüsselbein,Clavicula sinistra,skeletal
left corniculate cartilage,Linker Spitzenknorpel,Cartilago corniculata sinistra,skeletal
left cuboid bone,Linkes Würfelbein,Os cuboideum sinistrum,skeletal
left cuneiform cartilage,Linker Keilknorpel des Kehlkopfs,Cartilago cuneiformis sinistra,skeletal
left eighth rib,Linke achte Rippe,Costa octava sinistra,skeletal
left eleventh rib,Linke elfte Rippe,Costa undecima sinistra,skeletal
left femur,Linker Oberschenkelknochen,Femur sinistrum,skeletal
left fibula,Linkes Wadenbein,Fibula sinistra,skeletal
left fibularis brevis,Linker kurzer Wadenbeinmuskel,Musculus fibularis brevis sinister,skeletal
left fibularis longus,Linker langer Wadenbeinmuskel,Musculus fibularis longus sinister,skeletal
left fibularis tertius,Linker dritter Wadenbeinmuskel,Musculus fibularis tertius sinister,skeletal
left fifth costal cartilage,Linker fünfter Rippenknorpel,Cartilago costalis quinta sinistra,skeletal
left fifth metacarpal bone,Linker fünfter Mittelhandknochen,Os metacarpale quintum sinistrum,skeletal
left fifth metatarsal bone,Linker fünfter Mittelfußknochen,Os metatarsale quintum sinistrum,skeletal
left fifth rib,Linke fünfte Rippe,Costa quinta sinistra,skeletal
left first costal cartilage,Linker erster Rippenknorpel,Cartilago costalis prima sinistra,skeletal
left first metacarpal bone,Linker erster Mittelhandknochen,Os metacarpale primum sinistrum,skeletal
left first metatarsal bone,Linker erster Mittelfußknochen,Os metatarsale primum sinistrum,skeletal
left first rib,Linke erste Rippe,Costa prima sinistra,skeletal
left fourth costal cartilage,Linker vierter Rippenknorpel,Cartilago costalis quarta sinistra,skeletal
left fourth metacarpal bone,Linker vierter Mittelhandknochen,Os metacarpale quartum sinistrum,skeletal
left fourth metatarsal bone,Linker vierter Mittelfußknochen,Os metatarsale quartum sinistrum,skeletal
left fourth rib,Linke vierte Rippe,Costa quarta sinistra,skeletal
left hamate,Linkes Hakenbein,Os hamatum sinistrum,skeletal
left hip bone,Linkes Hüftbein,Os coxae sinistrum,skeletal
left humerus,Linker Oberarmknochen,Humerus sinister,skeletal
left iliotibial tract,Linker Iliotibialtrakt,Tractus iliotibialis sinister,skeletal
left intermediate cuneiform bone,Linkes mittleres Keilbein,Os cuneiforme intermedium sinistrum,skeletal
left lateral cuneiform bone,Linkes äußeres Keilbein,Os cuneiforme laterale sinistrum,skeletal
left levator scapulae,Linker Schulterblattheber,Musculus levator scapulae sinister,skeletal
left lower central secondary incisor tooth,Linker unterer mittlerer Schneidezahn,Dens incisivus medialis inferior sinister,skeletal
left lower first secondary molar tooth,Linker unterer erster Molar,Dens molaris primus inferior sinister,skeletal
left lower first secondary premolar tooth,Linker unterer erster Prämolar,Dens premolaris primus inferior sinister,skeletal
left lower lateral secondary incisor tooth,Linker unterer seitlicher Schneidezahn,Dens incisivus lateralis inferior sinister,skeletal
left lower second secondary molar tooth,Linker unterer zweiter Molar,Dens molaris secundus inferior sinister,skeletal
left lower second secondary premolar tooth,Linker unterer zweiter Prämolar,Dens premolaris secundus inferior sinister,skeletal
left lower secondary canine tooth,Linker unterer Eckzahn,Dens caninus inferior sinister,skeletal
left lunate,Linkes Mondbein,Os lunatum sinistrum,skeletal
left major alar cartilage,Linker großer Flügelknorpel,Cartilago alaris major sinistra,skeletal
left maxilla,Linker Oberkiefer,Maxilla sinistra,skeletal
left medial cuneiform bone,Linkes inneres Keilbein,Os cuneiforme mediale sinistrum,skeletal
left nasal bone,Linkes Nasenbein,Os nasale sinistrum,skeletal
left ninth rib,Linke neunte Rippe,Costa nona sinistra,skeletal
left palatine bone,Linkes Gaumenbein,Os palatinum sinistrum,skeletal
left parietal bone,Linkes Scheitelbein,Os parietale sinistrum,skeletal
left patella,Linke Kniescheibe,Patella sinistra,skeletal
left pisiform,Linkes Erbsenbein,Os pisiforme sinistrum,skeletal
left radius,Linke Speiche,Radius sinister,skeletal
left scaphoid,Linkes Kahnbein,Os scaphoideum sinistrum,skeletal
left scapula,Linkes Schulterblatt,Scapula sinistra,skeletal
left second costal cartilage,Linker zweiter Rippenknorpel,Cartilago costalis secunda sinistra,skeletal
left second metacarpal bone,Linker zweiter Mittelhandknochen,Os metacarpale secundum sinistrum,skeletal
left second metatarsal bone,Linker zweiter Mittelfußknochen,Os metatarsale secundum sinistrum,skeletal
left second rib,Linke zweite Rippe,Costa secunda sinistra,skeletal
left seventh costal cartilage,Linker siebter Rippenknorpel,Cartilago costalis septima sinistra,skeletal
left seventh rib,Linke siebte Rippe,Costa septima sinistra,skeletal
left sixth costal cartilage,Linker sechster Rippenknorpel,Cartilago costalis sexta sinistra,skeletal
left sixth rib,Linke sechste Rippe,Costa sexta sinistra,skeletal
left subscapularis,Linker Unterschulterblattmuskel,Musculus subscapularis sinister,skeletal
left talus,Linkes Sprungbein,Talus sinister,skeletal
left temporal bone,Linkes Schläfenbein,Os temporale sinistrum,skeletal
left tenth rib,Linke zehnte Rippe,Costa decima sinistra,skeletal
left third costal cartilage,Linker dritter Rippenknorpel,Cartilago costalis tertia sinistra,skeletal
left third metacarpal bone,Linker dritter Mittelhandknochen,Os metacarpale tertium sinistrum,skeletal
left third metatarsal bone,Linker dritter Mittelfußknochen,Os metatarsale tertium sinistrum,skeletal
left third rib,Linke dritte Rippe,Costa tertia sinistra,skeletal
left tibia,Linkes Schienbein,Tibia sinistra,skeletal
left tibialis anterior,Linker vorderer Schienbeinmuskel,Musculus tibialis anterior sinister,skeletal
left tibialis posterior,Linker hinterer Schienbeinmuskel,Musculus tibialis posterior sinister,skeletal
left trapezium,Linkes großes Vieleckbein,Os trapezium sinistrum,skeletal
left trapezoid,Linkes kleines Vieleckbein,Os trapezoideum sinistrum,skeletal
left triquetral,Linkes Dreiecksbein,Os triquetrum sinistrum,skeletal
left twelfth rib,Linke zwölfte Rippe,Costa duodecima sinistra,skeletal
left ulna,Linke Elle,Ulna sinistra,skeletal
left upper central secondary incisor tooth,Linker oberer mittlerer Schneidezahn,Dens incisivus medialis superior sinister,skeletal
left upper first secondary molar tooth,Linker oberer erster Molar,Dens molaris primus superior sinister,skeletal
left upper first secondary premolar tooth,Linker oberer erster Prämolar,Dens premolaris primus superior sinister,skeletal
left upper lateral secondary incisor tooth,Linker oberer seitlicher Schneidezahn,Dens incisivus lateralis superior sinister,skeletal
left upper second secondary molar tooth,Linker oberer zweiter Molar,Dens molaris secundus superior sinister,skeletal
left upper second secondary premolar tooth,Linker oberer zweiter Prämolar,Dens premolaris secundus superior sinister,skeletal
left upper secondary canine tooth,Linker oberer Eckzahn,Dens caninus superior sinister,skeletal
left zygomatic bone,Linkes Jochbein,Os zygomaticum sinistrum,skeletal
mandible,Unterkiefer,Mandibula,skeletal
manubrium,Brustbeingriff,Manubrium sterni,skeletal
middle phalanx of left fourth toe,Mittelphalanx der linken vierten Zehe,Phalanx media digiti quarti pedis sinistri,skeletal
middle phalanx of left index finger,Mittelphalanx des linken Zeigefingers,Phalanx media indicis sinistri,skeletal
middle phalanx of left little finger,Mittelphalanx des linken Kleinfingers,Phalanx media digiti minimi manus sinistri,skeletal
middle phalanx of left little toe,Mittelphalanx der linken Kleinzehe,Phalanx media digiti minimi pedis sinistri,skeletal
middle phalanx of left middle finger,Mittelphalanx des linken Mittelfingers,Phalanx media digiti medii sinistri,skeletal
middle phalanx of left ring finger,Mittelphalanx des linken Ringfingers,Phalanx media digiti anularis sinistri,skeletal
middle phalanx of left second toe,Mittelphalanx der linken zweiten Zehe,Phalanx media digiti secundi pedis sinistri,skeletal
middle phalanx of left third toe,Mittelphalanx der linken dritten Zehe,Phalanx media digiti tertii pedis sinistri,skeletal
middle phalanx of right fourth toe,Mittelphalanx der rechten vierten Zehe,Phalanx media digiti quarti pedis dextri,skeletal
middle phalanx of right index finger,Mittelphalanx des rechten Zeigefingers,Phalanx media indicis dextri,skeletal
middle phalanx of right little finger,Mittelphalanx des rechten Kleinfingers,Phalanx media digiti minimi manus dextri,skeletal
middle phalanx of right little toe,Mittelphalanx der rechten Kleinzehe,Phalanx media digiti minimi pedis dextri,skeletal
middle phalanx of right middle finger,Mittelphalanx des rechten Mittelfingers,Phalanx media digiti medii dextri,skeletal
middle phalanx of right ring finger,Mittelphalanx des rechten Ringfingers,Phalanx media digiti anularis dextri,skeletal
middle phalanx of right second toe,Mittelphalanx der rechten zweiten Zehe,Phalanx media digiti secundi pedis dextri,skeletal
middle phalanx of right third toe,Mittelphalanx der rechten dritten Zehe,Phalanx media digiti tertii pedis dextri,skeletal
navicular bone of left foot,Kahnbein des linken Fußes,Os naviculare pedis sinistri,skeletal
navicular bone of right foot,Kahnbein des rechten Fußes,Os naviculare pedis dextri,skeletal
ninth thoracic vertebra,Neunter Brustwirbel,Vertebra thoracica nona,skeletal
occipital bone,Hinterhauptbein,Os occipitale,skeletal
proximal phalanx of left big toe,Grundphalanx der linken Großzehe,Phalanx proximalis hallucis sinistri,skeletal
proximal phalanx of left fourth toe,Grundphalanx der linken vierten Zehe,Phalanx proximalis digiti quarti pedis sinistri,skeletal
proximal phalanx of left index finger,Grundphalanx des linken Zeigefingers,Phalanx proximalis indicis sinistri,skeletal
proximal phalanx of left little finger,Grundphalanx des linken Kleinfingers,Phalanx proximalis digiti minimi manus sinistri,skeletal
proximal phalanx of left little toe,Grundphalanx der linken Kleinzehe,Phalanx proximalis digiti minimi pedis sinistri,skeletal
proximal phalanx of left middle finger,Grundphalanx des linken Mittelfingers,Phalanx proximalis digiti medii sinistri,skeletal
proximal phalanx of left ring finger,Grundphalanx des linken Ringfingers,Phalanx proximalis digiti anularis sinistri,skeletal
proximal phalanx of left second toe,Grundphalanx der linken zweiten Zehe,Phalanx proximalis digiti secundi pedis sinistri,skeletal
proximal phalanx of left third toe,Grundphalanx der linken dritten Zehe,Phalanx proximalis digiti tertii pedis sinistri,skeletal
proximal phalanx of left thumb,Grundphalanx des linken Daumens,Phalanx proximalis pollicis sinistri,skeletal
proximal phalanx of right big toe,Grundphalanx der rechten Großzehe,Phalanx proximalis hallucis dextri,skeletal
proximal phalanx of right fourth toe,Grundphalanx der rechten vierten Zehe,Phalanx proximalis digiti quarti pedis dextri,skeletal
proximal phalanx of right index finger,Grundphalanx des rechten Zeigefingers,Phalanx proximalis indicis dextri,skeletal
proximal phalanx of right little finger,Grundphalanx des rechten Kleinfingers,Phalanx proximalis digiti minimi manus dextri,skeletal
proximal phalanx of right little toe,Grundphalanx der rechten Kleinzehe,Phalanx proximalis digiti minimi pedis dextri,skeletal
proximal phalanx of right middle finger,Grundphalanx des rechten Mittelfingers,Phalanx proximalis digiti medii dextri,skeletal
proximal phalanx of right ring finger,Grundphalanx des rechten Ringfingers,Phalanx proximalis digiti anularis dextri,skeletal
proximal phalanx of right second toe,Grundphalanx der rechten zweiten Zehe,Phalanx proximalis digiti secundi pedis dextri,skeletal
proximal phalanx of right third toe,Grundphalanx der rechten dritten Zehe,Phalanx proximalis digiti tertii pedis dextri,skeletal
proximal phalanx of right thumb,Grundphalanx des rechten Daumens,Phalanx proximalis pollicis dextri,skeletal
right arytenoid cartilage,Rechter Stellknorpel,Cartilago arytenoidea dextra,skeletal
right calcaneus,Rechtes Fersenbein,Calcaneus dexter,skeletal
right capitate,Rechtes Kopfbein,Os capitatum dextrum,skeletal
right clavicle,Rechtes Schlüsselbein,Clavicula dextra,skeletal
right corniculate cartilage,Rechter Spitzenknorpel,Cartilago corniculata dextra,skeletal
right cuboid bone,Rechtes Würfelbein,Os cuboideum dextrum,skeletal
right cuneiform cartilage,Rechter Keilknorpel des Kehlkopfs,Cartilago cuneiformis dextra,skeletal
right eighth rib,Rechte achte Rippe,Costa octava dextra,skeletal
right eleventh rib,Rechte elfte Rippe,Costa undecima dextra,skeletal
right femur,Rechter Oberschenkelknochen,Femur dextrum,skeletal
right fibula,Rechtes Wadenbein,Fibula dextra,skeletal
right fibularis brevis,Rechter kurzer Wadenbeinmuskel,Musculus fibularis brevis dexter,skeletal
right fibularis longus,Rechter langer Wadenbeinmuskel,Musculus fibularis longus dexter,skeletal
right fibularis tertius,Rechter dritter Wadenbeinmuskel,Musculus fibularis tertius dexter,skeletal
right fifth costal cartilage,Rechter fünfter Rippenknorpel,Cartilago costalis quinta dextra,skeletal
right fifth metacarpal bone,Rechter fünfter Mittelhandknochen,Os metacarpale quintum dextrum,skeletal
right fifth metatarsal bone,Rechter fünfter Mittelfußknochen,Os metatarsale quintum dextrum,skeletal
right fifth rib,Rechte fünfte Rippe,Costa quinta dextra,skeletal
right first costal cartilage,Rechter erster Rippenknorpel,Cartilago costalis prima dextra,skeletal
right first metacarpal bone,Rechter erster Mittelhandknochen,Os metacarpale primum dextrum,skeletal
right first metatarsal bone,Rechter erster Mittelfußknochen,Os metatarsale primum dextrum,skeletal
right first rib,Rechte erste Rippe,Costa prima dextra,skeletal
right fourth costal cartilage,Rechter vierter Rippenknorpel,Cartilago costalis quarta dextra,skeletal
right fourth metacarpal bone,Rechter vierter Mittelhandknochen,Os metacarpale quartum dextrum,skeletal
right fourth metatarsal bone,Rechter vierter Mittelfußknochen,Os metatarsale quartum dextrum,skeletal
right fourth rib,Rechte vierte Rippe,Costa quarta dextra,skeletal
right hamate,Rechtes Hakenbein,Os hamatum dextrum,skeletal
right hip bone,Rechtes Hüftbein,Os coxae dextrum,skeletal
right humerus,Rechter Oberarmknochen,Humerus dexter,skeletal
right iliotibial tract,Rechter Iliotibialtrakt,Tractus iliotibialis dexter,skeletal
right intermediate cuneiform bone,Rechtes mittleres Keilbein,Os cuneiforme intermedium dextrum,skeletal
right lateral cuneiform bone,Rechtes äußeres Keilbein,Os cuneiforme laterale dextrum,skeletal
right levator scapulae,Rechter Schulterblattheber,Musculus levator scapulae dexter,skeletal
right lower central secondary incisor tooth,Rechter unterer mittlerer Schneidezahn,Dens incisivus medialis inferior dexter,skeletal
right lower first secondary molar tooth,Rechter unterer erster Molar,Dens molaris primus inferior dexter,skeletal
right lower first secondary premolar tooth,Rechter unterer erster Prämolar,Dens premolaris primus inferior dexter,skeletal
right lower lateral secondary incisor tooth,Rechter unterer seitlicher Schneidezahn,Dens incisivus lateralis inferior dexter,skeletal
right lower second secondary molar tooth,Rechter unterer zweiter Molar,Dens molaris secundus inferior dexter,skeletal
right lower second secondary premolar tooth,Rechter unterer zweiter Prämolar,Dens premolaris secundus inferior dexter,skeletal
right lower secondary canine tooth,Rechter unterer Eckzahn,Dens caninus inferior dexter,skeletal
right lunate,Rechtes Mondbein,Os lunatum dextrum,skeletal
right major alar cartilage,Rechter großer Flügelknorpel,Cartilago alaris major dextra,skeletal
right maxilla,Rechter Oberkiefer,Maxilla dextra,skeletal
right medial cuneiform bone,Rechtes inneres Keilbein,Os cuneiforme mediale dextrum,skeletal
right nasal bone,Rechtes Nasenbein,Os nasale dextrum,skeletal
right ninth rib,Rechte neunte Rippe,Costa nona dextra,skeletal
right palatine bone,Rechtes Gaumenbein,Os palatinum dextrum,skeletal
right parietal bone,Rechtes Scheitelbein,Os parietale dextrum,skeletal
right patella,Rechte Kniescheibe,Patella dextra,skeletal
right pisiform,Rechtes Erbsenbein,Os pisiforme dextrum,skeletal
right radius,Rechte Speiche,Radius dexter,skeletal
right scaphoid,Rechtes Kahnbein,Os scaphoideum dextrum,skeletal
right scapula,Rechtes Schulterblatt,Scapula dextra,skeletal
right second costal cartilage,Rechter zweiter Rippenknorpel,Cartilago costalis secunda dextra,skeletal
right second metacarpal bone,Rechter zweiter Mittelhandknochen,Os metacarpale secundum dextrum,skeletal
right second metatarsal bone,Rechter zweiter Mittelfußknochen,Os metatarsale secundum dextrum,skeletal
right second rib,Rechte zweite Rippe,Costa secunda dextra,skeletal
right seventh costal cartilage,Rechter siebter Rippenknorpel,Cartilago costalis septima dextra,skeletal
right seventh rib,Rechte siebte Rippe,Costa septima dextra,skeletal
right sixth costal cartilage,Rechter sechster Rippenknorpel,Cartilago costalis sexta dextra,skeletal
right sixth rib,Rechte sechste Rippe,Costa sexta dextra,skeletal
right subscapularis,Rechter Unterschulterblattmuskel,Musculus subscapularis dexter,skeletal
right talus,Rechtes Sprungbein,Talus dexter,skeletal
right temporal bone,Rechtes Schläfenbein,Os temporale dextrum,skeletal
right tenth rib,Rechte zehnte Rippe,Costa decima dextra,skeletal
right third costal cartilage,Rechter dritter Rippenknorpel,Cartilago costalis tertia dextra,skeletal
right third metacarpal bone,Rechter dritter Mittelhandknochen,Os metacarpale tertium dextrum,skeletal
right third metatarsal bone,Rechter dritter Mittelfußknochen,Os metatarsale tertium dextrum,skeletal
right third rib,Rechte dritte Rippe,Costa tertia dextra,skeletal
right tibia,Rechtes Schienbein,Tibia dextra,skeletal
right tibialis anterior,Rechter vorderer Schienbeinmuskel,Musculus tibialis anterior dexter,skeletal
right tibialis posterior,Rechter hinterer Schienbeinmuskel,Musculus tibialis posterior dexter,skeletal
right trapezium,Rechtes großes Vieleckbein,Os trapezium dextrum,skeletal
right trapezoid,Rechtes kleines Vieleckbein,Os trapezoideum dextrum,skeletal
right triquetral,Rechtes Dreiecksbein,Os triquetrum dextrum,skeletal
right twelfth rib,Rechte zwölfte Rippe,Costa duodecima dextra,skeletal
right ulna,Rechte Elle,Ulna dextra,skeletal
right upper central secondary incisor tooth,Rechter oberer mittlerer Schneidezahn,Dens incisivus medialis superior dexter,skeletal
right upper first secondary molar tooth,Rechter oberer erster Molar,Dens molaris primus superior dexter,skeletal
right upper first secondary premolar tooth,Rechter oberer erster Prämolar,Dens premolaris primus superior dexter,skeletal
right upper lateral secondary incisor tooth,Rechter oberer seitlicher Schneidezahn,Dens incisivus lateralis superior dexter,skeletal
right upper second secondary molar tooth,Rechter oberer zweiter Molar,Dens molaris secundus superior dexter,skeletal
right upper second secondary premolar tooth,Rechter oberer zweiter Prämolar,Dens premolaris secundus superior dexter,skeletal
right upper secondary canine tooth,Rechter oberer Eckzahn,Dens caninus superior dexter,skeletal
right zygomatic bone,Rechtes Jochbein,Os zygomaticum dextrum,skeletal
sacrum,Kreuzbein,Os sacrum,skeletal
second lumbar vertebra,Zweiter Lendenwirbel,Vertebra lumbalis secunda,skeletal
second thoracic vertebra,Zweiter Brustwirbel,Vertebra thoracica secunda,skeletal
sesamoid bone of left foot,Sesambein des linken Fußes,Os sesamoideum pedis sinistri,skeletal
sesamoid bone of right foot,Sesambein des rechten Fußes,Os sesamoideum pedis dextri,skeletal
seventh cervical vertebra,Siebter Halswirbel,Vertebra cervicalis septima,skeletal
seventh thoracic vertebra,Siebter Brustwirbel,Vertebra thoracica septima,skeletal
sixth cervical vertebra,Sechster Halswirbel,Vertebra cervicalis sexta,skeletal
sixth thoracic vertebra,Sechster Brustwirbel,Vertebra thoracica sexta,skeletal
sphenoid bone,Keilbein,Os sphenoidale,skeletal
tenth thoracic vertebra,Zehnter Brustwirbel,Vertebra thoracica decima,skeletal
third cervical vertebra,Dritter Halswirbel,Vertebra cervicalis tertia,skeletal
third lumbar vertebra,Dritter Lendenwirbel,Vertebra lumbalis tertia,skeletal
third thoracic vertebra,Dritter Brustwirbel,Vertebra thoracica tertia,skeletal
thyroid cartilage,Schildknorpel,Cartilago thyroidea,skeletal
twelfth thoracic vertebra,Zwölfter Brustwirbel,Vertebra thoracica duodecima,skeletal
vomer,Pflugscharbein,Vomer,skeletal
xiphoid process,Schwertfortsatz,Processus xiphoideus,skeletal
