english,german,latin,system
first lumbrical of left foot,Erster Spulmuskel des linken Fußes,Musculus lumbricalis primus pedis sinistri,muscular
first lumbrical of right foot,Erster Spulmuskel des rechten Fußes,Musculus lumbricalis primus pedis dextri,muscular
first plantar interosseous of left foot,Erster Sohlenzwischenknochenmuskel des linken Fußes,Musculus interosseus plantaris primus pedis sinistri,muscular
first plantar interosseous of right foot,Erster Sohlenzwischenknochenmuskel des rechten Fußes,Musculus interosseus plantaris primus pedis dextri,muscular
flexor digiti minimi brevis of left foot,Kurzer Kleinzehenbeuger des linken Fußes,Musculus flexor digiti minimi brevis pedis sinistri,muscular
flexor digiti minimi brevis of left hand,Kurzer Kleinfingerbeuger der linken Hand,Musculus flexor digiti minimi brevis manus sinistrae,muscular
flexor digiti minimi brevis of right foot,Kurzer Kleinzehenbeuger des rechten Fußes,Musculus flexor digiti minimi brevis pedis dextri,muscular
flexor digiti minimi brevis of right hand,Kurzer Kleinfingerbeuger der rechten Hand,Musculus flexor digiti minimi brevis manus dextrae,muscular
fourth lumbrical of left foot,Vierter Spulmuskel des linken Fußes,Musculus lumbricalis quartus pedis sinistri,muscular
fourth lumbrical of right foot,Vierter Spulmuskel des rechten Fußes,Musculus lumbricalis quartus pedis dextri,muscular
humeral head of left flexor carpi ulnaris,Oberarmkopf des linken ellenseitigen Handbeugers,Caput humerale musculi flexoris carpi ulnaris sinistri,muscular
humeral head of left pronator teres,Oberarmkopf des linken runden Einwärtsdrehers,Caput humerale musculi pronatoris teretis sinistri,muscular
humeral head of right flexor carpi ulnaris,Oberarmkopf des rechten ellenseitigen Handbeugers,Caput humerale musculi flexoris carpi ulnaris dextri,muscular
humeral head of right pronator teres,Oberarmkopf des rechten runden Einwärtsdrehers,Caput humerale musculi pronatoris teretis dextri,muscular
inferior oblique part of left longus colli,Unterer schräger Anteil des linken langen Halsmuskels,Pars obliqua inferior musculi longi colli sinistri,muscular
innermost intercostal muscle,Innerster Zwischenrippenmuskel,Musculus intercostalis intimus,muscular
internal intercostal muscle,Innerer Zwischenrippenmuskel,Musculus intercostalis internus,muscular
lateral head of left flexor hallucis brevis,Seitlicher Kopf des linken kurzen Großzehenbeugers,Caput laterale musculi flexoris hallucis brevis sinistri,muscular
lateral head of left gastrocnemius,Seitlicher Kopf des linken Zwillingswadenmuskels,Caput laterale musculi gastrocnemii sinistri,muscular
lateral head of left triceps brachii,Seitlicher Kopf des linken dreiköpfigen Oberarmmuskels,Caput laterale musculi tricipitis brachii sinistri,muscular
lateral head of right flexor hallucis brevis,Seitlicher Kopf des rechten kurzen Großzehenbeugers,Caput laterale musculi flexoris hallucis brevis dextri,muscular
lateral head of right gastrocnemius,Seitlicher Kopf des rechten Zwillingswadenmuskels,Caput laterale musculi gastrocnemii dextri,muscular
lateral head of right triceps brachii,Seitlicher Kopf des rechten dreiköpfigen Oberarmmuskels,Caput laterale musculi tricipitis brachii dextri,muscular
lateral lumbar intertransversarius,Seitlicher Zwischenquerfortsatzmuskel der Lende,Musculus intertransversarius lateralis lumborum,muscular
lateral papillary muscle of left ventricle,Seitlicher Papillarmuskel der linken Herzkammer,Musculus papillaris lateralis ventriculi sinistri,muscular
left abductor hallucis,Linker Großzehenabzieher,Musculus abductor hallucis sinister,muscular
left abductor pollicis brevis,Linker kurzer Daumenabzieher,Musculus abductor pollicis brevis sinister,muscular
left abductor pollicis longus,Linker langer Daumenabzieher,Musculus abductor pollicis longus sinister,muscular
left adductor brevis,Linker kurzer Schenkelanzieher,Musculus adductor brevis sinister,muscular
left adductor longus,Linker langer Schenkelanzieher,Musculus adductor longus sinister,muscular
left adductor magnus,Linker großer Schenkelanzieher,Musculus adductor magnus sinister,muscular
left adductor minimus,Linker kleinster Schenkelanzieher,Musculus adductor minimus sinister,muscular
left anconeus,Linker Knorrenmuskel,Musculus anconeus sinister,muscular
left aryepiglotticus,Linker Stellknorpel-Kehldeckel-Muskel,Musculus aryepiglotticus sinister,muscular
left brachialis,Linker Armbeuger,Musculus brachialis sinister,muscular
left brachioradialis,Linker Oberarm-Speichen-Muskel,Musculus brachioradialis sinister,muscular
left cervical rotator,Linker Halsdrehmuskel,Musculus rotator cervicis sinister,muscular
left coccygeus,Linker Steißbeinmuskel,Musculus coccygeus sinister,muscular
left coracobrachialis,Linker Hakenarmmuskel,Musculus coracobrachialis sinister,muscular
left digastric,Linker zweibäuchiger Muskel,Musculus digastricus sinister,muscular
left extensor carpi radialis brevis,Linker kurzer speichenseitiger Handstrecker,Musculus extensor carpi radialis brevis sinister,muscular
left extensor carpi radialis longus,Linker langer speichenseitiger Handstrecker,Musculus extensor carpi radialis longus sinister,muscular
left extensor carpi ulnaris,Linker ellenseitiger Handstrecker,Musculus extensor carpi ulnaris sinister,muscular
left extensor digiti minimi,Linker Kleinfingerstrecker,Musculus extensor digiti minimi sinister,muscular
left extensor digitorum,Linker Fingerstrecker,Musculus extensor digitorum sinister,muscular
left extensor digitorum longus,Linker langer Zehenstrecker,Musculus extensor digitorum longus sinister,muscular
left extensor hallucis brevis,Linker kurzer Großzehenstrecker,Musculus extensor hallucis brevis sinister,muscular
left extensor hallucis longus,Linker langer Großzehenstrecker,Musculus extensor hallucis longus sinister,muscular
left extensor indicis,Linker Zeigefingerstrecker,Musculus extensor indicis sinister,muscular
left extensor pollicis brevis,Linker kurzer Daumenstrecker,Musculus extensor pollicis brevis sinister,muscular
left extensor pollicis longus,Linker langer Daumenstrecker,Musculus extensor pollicis longus sinister,muscular
left external oblique,Linker äußerer schräger Bauchmuskel,Musculus obliquus externus abdominis sinister,muscular
left flexor accessorius,Linker viereckiger Sohlenmuskel,Musculus quadratus plantae sinister,muscular
left flexor carpi radialis,Linker speichenseitiger Handbeuger,Musculus flexor carpi radialis sinister,muscular
left flexor digitorum brevis,Linker kurzer Zehenbeuger,Musculus flexor digitorum brevis sinister,muscular
left flexor digitorum longus,Linker langer Zehenbeuger,Musculus flexor digitorum longus sinister,muscular
left flexor digitorum profundus,Linker tiefer Fingerbeuger,Musculus flexor digitorum profundus sinister,muscular
left flexor digitorum superficialis,Linker oberflächlicher Fingerbeuger,Musculus flexor digitorum superficialis sinister,muscular
left flexor hallucis longus,Linker langer Großzehenbeuger,Musculus flexor hallucis longus sinister,muscular
left flexor pollicis brevis,Linker kurzer Daumenbeuger,Musculus flexor pollicis brevis sinister,muscular
left flexor pollicis longus,Linker langer Daumenbeuger,Musculus flexor pollicis longus sinister,muscular
left gemellus inferior,Linker unterer Zwillingsmuskel,Musculus gemellus inferior sinister,muscular
left gemellus superior,Linker oberer Zwillingsmuskel,Musculus gemellus superior sinister,muscular
left genioglossus,Linker Kinn-Zungen-Muskel,Musculus genioglossus sinister,muscular
left geniohyoid,Linker Kinn-Zungenbein-Muskel,Musculus geniohyoideus sinister,muscular
left gluteus maximus,Linker großer Gesäßmuskel,Musculus gluteus maximus sinister,muscular
left gluteus medius,Linker mittlerer Gesäßmuskel,Musculus gluteus medius sinister,muscular
left gluteus minimus,Linker kleiner Gesäßmuskel,Musculus gluteus minimus sinister,muscular
left gracilis,Linker schlanker Muskel,Musculus gracilis sinister,muscular
left hyoglossus,Linker Zungenbein-Zungen-Muskel,Musculus hyoglossus sinister,muscular
left iliacus,Linker Darmbeinmuskel,Musculus iliacus sinister,muscular
left iliococcygeus,Linker Darmbein-Steißbein-Muskel,Musculus iliococcygeus sinister,muscular
left iliocostalis cervicis,Linker Darmbein-Rippen-Muskel des Halses,Musculus iliocostalis cervicis sinister,muscular
left iliocostalis lumborum,Linker Darmbein-Rippen-Muskel der Lende,Musculus iliocostalis lumborum sinister,muscular
left iliocostalis thoracis,Linker Darmbein-Rippen-Muskel des Brustkorbs,Musculus iliocostalis thoracis sinister,muscular
left inferior oblique,Linker unterer schräger Augenmuskel,Musculus obliquus inferior sinister,muscular
left inferior rectus,Linker unterer gerader Augenmuskel,Musculus rectus inferior sinister,muscular
left infraspinatus muscle,Linker Untergrätenmuskel,Musculus infraspinatus sinister,muscular
left interspinalis thoracis,Linker Zwischendornmuskel des Brustkorbs,Musculus interspinalis thoracis sinister,muscular
left lateral crico-arytenoid,Linker seitlicher Ringknorpel-Stellknorpel-Muskel,Musculus cricoarytenoideus lateralis sinister,muscular
left lateral rectus,Linker seitlicher gerader Augenmuskel,Musculus rectus lateralis sinister,muscular
left levator palpebrae superioris,Linker Oberlidheber,Musculus levator palpebrae superioris sinister,muscular
left levator veli palatini,Linker Gaumensegelheber,Musculus levator veli palatini sinister,muscular
left longissimus capitis,Linker längster Muskel des Kopfes,Musculus longissimus capitis sinister,muscular
left longissimus cervicis,Linker längster Muskel des Halses,Musculus longissimus cervicis sinister,muscular
left longissimus thoracis,Linker längster Muskel des Brustkorbs,Musculus longissimus thoracis sinister,muscular
left longus capitis,Linker langer Kopfmuskel,Musculus longus capitis sinister,muscular
left lumbar rotator,Linker Lendendrehmuskel,Musculus rotator lumborum sinister,muscular
left medial rectus,Linker innerer gerader Augenmuskel,Musculus rectus medialis sinister,muscular
left mylohyoid,Linker Kiefer-Zungenbein-Muskel,Musculus mylohyoideus sinister,muscular
left oblique arytenoid,Linker schräger Stellknorpelmuskel,Musculus arytenoideus obliquus sinister,muscular
left obliquus capitis inferior,Linker unterer schräger Kopfmuskel,Musculus obliquus capitis inferior sinister,muscular
left obliquus capitis superior,Linker oberer schräger Kopfmuskel,Musculus obliquus capitis superior sinister,muscular
left obturator externus,Linker äußerer Hüftlochmuskel,Musculus obturatorius externus sinister,muscular
left obturator internus,Linker innerer Hüftlochmuskel,Musculus obturatorius internus sinister,muscular
left omohyoid,Linker Schulterblatt-Zungenbein-Muskel,Musculus omohyoideus sinister,muscular
left opponens pollicis,Linker Daumengegensteller,Musculus opponens pollicis sinister,muscular
left palmaris longus,Linker langer Hohlhandmuskel,Musculus palmaris longus sinister,muscular
left pectineus,Linker Kammmuskel,Musculus pectineus sinister,muscular
left pectoralis minor,Linker kleiner Brustmuskel,Musculus pectoralis minor sinister,muscular
left piriformis,Linker birnenförmiger Muskel,Musculus piriformis sinister,muscular
left plantaris,Linker langer Sohlenmuskel,Musculus plantaris sinister,muscular
left platysma,Linker Hautmuskel des Halses,Platysma sinistrum,muscular
left popliteus,Linker Kniekehlenmuskel,Musculus popliteus sinister,muscular
left posterior crico-arytenoid,Linker hinterer Ringknorpel-Stellknorpel-Muskel,Musculus cricoarytenoideus posterior sinister,muscular
left pronator quadratus,Linker viereckiger Einwärtsdreher,Musculus pronator quadratus sinister,muscular
left psoas major,Linker großer Lendenmuskel,Musculus psoas major sinister,muscular
left pubococcygeus,Linker Schambein-Steißbein-Muskel,Musculus pubococcygeus sinister,muscular
left puborectalis,Linker Schambein-Mastdarm-Muskel,Musculus puborectalis sinister,muscular
left quadratus femoris,Linker viereckiger Schenkelmuskel,Musculus quadratus femoris sinister,muscular
left rectus capitis anterior,Linker vorderer gerader Kopfmuskel,Musculus rectus capitis anterior sinister,muscular
left rectus capitis lateralis,Linker seitlicher gerader Kopfmuskel,Musculus rectus capitis lateralis sinister,muscular
left rectus capitis posterior major,Linker großer hinterer gerader Kopfmuskel,Musculus rectus capitis posterior major sinister,muscular
left rectus capitis posterior minor,Linker kleiner hinterer gerader Kopfmuskel,Musculus rectus capitis posterior minor sinister,muscular
left rectus femoris,Linker gerader Schenkelmuskel,Musculus rectus femoris sinister,muscular
left rhomboid major,Linker großer Rautenmuskel,Musculus rhomboideus major sinister,muscular
left rhomboid minor,Linker kleiner Rautenmuskel,Musculus rhomboideus minor sinister,muscular
left sartorius,Linker Schneidermuskel,Musculus sartorius sinister,muscular
left scalenus anterior,Linker vorderer Treppenmuskel,Musculus scalenus anterior sinister,muscular
left scalenus medius,Linker mittlerer Treppenmuskel,Musculus scalenus medius sinister,muscular
left scalenus posterior,Linker hinterer Treppenmuskel,Musculus scalenus posterior sinister,muscular
left semimembranosus,Linker Plattsehnenmuskel,Musculus semimembranosus sinister,muscular
left semispinalis capitis,Linker Halbdornmuskel des Kopfes,Musculus semispinalis capitis sinister,muscular
left semispinalis cervicis,Linker Halbdornmuskel des Halses,Musculus semispinalis cervicis sinister,muscular
left semispinalis thoracis,Linker Halbdornmuskel des Brustkorbs,Musculus semispinalis thoracis sinister,muscular
left semitendinosus,Linker Halbsehnenmuskel,Musculus semitendinosus sinister,muscular
left serratus anterior,Linker vorderer Sägemuskel,Musculus serratus anterior sinister,muscular
left serratus posterior inferior,Linker hinterer unterer Sägemuskel,Musculus serratus posterior inferior sinister,muscular
left serratus posterior superior,Linker hinterer oberer Sägemuskel,Musculus serratus posterior superior sinister,muscular
left soleus,Linker Schollenmuskel,Musculus soleus sinister,muscular
left spinalis thoracis,Linker Dornmuskel des Brustkorbs,Musculus spinalis thoracis sinister,muscular
left splenius capitis,Linker Riemenmuskel des Kopfes,Musculus splenius capitis sinister,muscular
left splenius cervicis,Linker Riemenmuskel des Halses,Musculus splenius cervicis sinister,muscular
left sternocleidomastoid,Linker Kopfwender,Musculus sternocleidomastoideus sinister,muscular
left sternohyoid,Linker Brustbein-Zungenbein-Muskel,Musculus sternohyoideus sinister,muscular
left sternothyroid,Linker Brustbein-Schildknorpel-Muskel,Musculus sternothyroideus sinister,muscular
left stylohyoid,Linker Griffel-Zungenbein-Muskel,Musculus stylohyoideus sinister,muscular
left subclavius,Linker Unterschlüsselbeinmuskel,Musculus subclavius sinister,muscular
left superior oblique,Linker oberer schräger Augenmuskel,Musculus obliquus superior sinister,muscular
left superior rectus,Linker oberer gerader Augenmuskel,Musculus rectus superior sinister,muscular
left supinator,Linker Auswärtsdreher,Musculus supinator sinister,muscular
left supraspinatus,Linker Obergrätenmuskel,Musculus supraspinatus sinister,muscular
left tensor veli palatini,Linker Gaumensegelspanner,Musculus tensor veli palatini sinister,muscular
left teres major,Linker großer Rundmuskel,Musculus teres major sinister,muscular
left teres minor,Linker kleiner Rundmuskel,Musculus teres minor sinister,muscular
left thyro-arytenoid,Linker Schildknorpel-Stellknorpel-Muskel,Musculus thyroarytenoideus sinister,muscular
left thyrohyoid,Linker Schildknorpel-Zungenbein-Muskel,Musculus thyrohyoideus sinister,muscular
left transversus thoracis,Linker querer Brustkorbmuskel,Musculus transversus thoracis sinister,muscular
left vastus intermedius,Linker mittlerer breiter Schenkelmuskel,Musculus vastus intermedius sinister,muscular
left vastus lateralis,Linker äußerer breiter Schenkelmuskel,Musculus vastus lateralis sinister,muscular
left vastus medialis,Linker innerer breiter Schenkelmuskel,Musculus vastus medialis sinister,muscular
left vocalis,Linker Stimmmuskel,Musculus vocalis sinister,muscular
long head of left biceps brachii,Langer Kopf des linken zweiköpfigen Oberarmmuskels,Caput longum musculi bicipitis brachii sinistri,muscular
long head of left biceps femoris,Langer Kopf des linken zweiköpfigen Schenkelmuskels,Caput longum musculi bicipitis femoris sinistri,muscular
long head of left triceps brachii,Langer Kopf des linken dreiköpfigen Oberarmmuskels,Caput longum musculi tricipitis brachii sinistri,muscular
long head of right biceps brachii,Langer Kopf des rechten zweiköpfigen Oberarmmuskels,Caput longum musculi bicipitis brachii dextri,muscular
long head of right biceps femoris,Langer Kopf des rechten zweiköpfigen Schenkelmuskels,Caput longum musculi bicipitis femoris dextri,muscular
long head of right triceps brachii,Langer Kopf des rechten dreiköpfigen Oberarmmuskels,Caput longum musculi tricipitis brachii dextri,muscular
medial head of left flexor hallucis brevis,Medialer Kopf des linken kurzen Großzehenbeugers,Caput mediale musculi flexoris hallucis brevis sinistri,muscular
medial head of left gastrocnemius,Medialer Kopf des linken Zwillingswadenmuskels,Caput mediale musculi gastrocnemii sinistri,muscular
medial head of left triceps brachii,Medialer Kopf des linken dreiköpfigen Oberarmmuskels,Caput mediale musculi tricipitis brachii sinistri,muscular
medial head of right flexor hallucis brevis,Medialer Kopf des rechten kurzen Großzehenbeugers,Caput mediale musculi flexoris hallucis brevis dextri,muscular
medial head of right gastrocnemius,Medialer Kopf des rechten Zwillingswadenmuskels,Caput mediale musculi gastrocnemii dextri,muscular
medial head of right triceps brachii,Medialer Kopf des rechten dreiköpfigen Oberarmmuskels,Caput mediale musculi tricipitis brachii dextri,muscular
medial lumbar intertransversarius,Medialer Zwischenquerfortsatzmuskel der Lende,Musculus intertransversarius medialis lumborum,muscular
oblique head of left adductor hallucis,Schräger Kopf des linken Großzehenanziehers,Caput obliquum musculi adductoris hallucis sinistri,muscular
oblique head of left adductor pollicis,Schräger Kopf des linken Daumenanziehers,Caput obliquum musculi adductoris pollicis sinistri,muscular
oblique head of right adductor hallucis,Schräger Kopf des rechten Großzehenanziehers,Caput obliquum musculi adductoris hallucis dextri,muscular
oblique head of right adductor pollicis,Schräger Kopf des rechten Daumenanziehers,Caput obliquum musculi adductoris pollicis dextri,muscular
oblique part of left cricothyroid,Schräger Anteil des linken Ringknorpel-Schildknorpel-Muskels,Pars obliqua musculi cricothyroidei sinistri,muscular
oblique part of right cricothyroid,Schräger Anteil des rechten Ringknorpel-Schildknorpel-Muskels,Pars obliqua musculi cricothyroidei dextri,muscular
opponens digiti minimi of left foot,Kleinzehengegensteller des linken Fußes,Musculus opponens digiti minimi pedis sinistri,muscular
opponens digiti minimi of left hand,Kleinfingergegensteller der linken Hand,Musculus opponens digiti minimi manus sinistrae,muscular
opponens digiti minimi of right foot,Kleinzehengegensteller des rechten Fußes,Musculus opponens digiti minimi pedis dextri,muscular
opponens digiti minimi of right hand,Kleinfingergegensteller der rechten Hand,Musculus opponens digiti minimi manus dextrae,muscular
posterior papillary muscle of right ventricle,Hinterer Papillarmuskel der rechten Herzkammer,Musculus papillaris posterior ventriculi dextri,muscular
right abductor hallucis,Rechter Großzehenabzieher,Musculus abductor hallucis dexter,muscular
right abductor pollicis brevis,Rechter kurzer Daumenabzieher,Musculus abductor pollicis brevis dexter,muscular
right abductor pollicis longus,Rechter langer Daumenabzieher,Musculus abductor pollicis longus dexter,muscular
right adductor brevis,Rechter kurzer Schenkelanzieher,Musculus adductor brevis dexter,muscular
right adductor longus,Rechter langer Schenkelanzieher,Musculus adductor longus dexter,muscular
right adductor magnus,Rechter großer Schenkelanzieher,Musculus adductor magnus dexter,muscular
right adductor minimus,Rechter kleinster Schenkelanzieher,Musculus adductor minimus dexter,muscular
right anconeus,Rechter Knorrenmuskel,Musculus anconeus dexter,muscular
right aryepiglotticus,Rechter Stellknorpel-Kehldeckel-Muskel,Musculus aryepiglotticus dexter,muscular
right brachialis,Rechter Armbeuger,Musculus brachialis dexter,muscular
right brachioradialis,Rechter Oberarm-Speichen-Muskel,Musculus brachioradialis dexter,muscular
right cervical rotator,Rechter Halsdrehmuskel,Musculus rotator cervicis dexter,muscular
right coccygeus,Rechter Steißbeinmuskel,Musculus coccygeus dexter,muscular
right coracobrachialis,Rechter Hakenarmmuskel,Musculus coracobrachialis dexter,muscular
right digastric,Rechter zweibäuchiger Muskel,Musculus digastricus dexter,muscular
right extensor carpi radialis brevis,Rechter kurzer speichenseitiger Handstrecker,Musculus extensor carpi radialis brevis dexter,muscular
right extensor carpi radialis longus,Rechter langer speichenseitiger Handstrecker,Musculus extensor carpi radialis longus dexter,muscular
right extensor carpi ulnaris,Rechter ellenseitiger Handstrecker,Musculus extensor carpi ulnaris dexter,muscular
right extensor digiti minimi,Rechter Kleinfingerstrecker,Musculus extensor digiti minimi dexter,muscular
right extensor digitorum,Rechter Fingerstrecker,Musculus extensor digitorum dexter,muscular
right extensor digitorum longus,Rechter langer Zehenstrecker,Musculus extensor digitorum longus dexter,muscular
right extensor hallucis brevis,Rechter kurzer Großzehenstrecker,Musculus extensor hallucis brevis dexter,muscular
right extensor hallucis longus,Rechter langer Großzehenstrecker,Musculus extensor hallucis longus dexter,muscular
right extensor indicis,Rechter Zeigefingerstrecker,Musculus extensor indicis dexter,muscular
right extensor pollicis brevis,Rechter kurzer Daumenstrecker,Musculus extensor pollicis brevis dexter,muscular
right extensor pollicis longus,Rechter langer Daumenstrecker,Musculus extensor pollicis longus dexter,muscular
right external oblique,Rechter äußerer schräger Bauchmuskel,Musculus obliquus externus abdominis dexter,muscular
right flexor accessorius,Rechter viereckiger Sohlenmuskel,Musculus quadratus plantae dexter,muscular
right flexor carpi radialis,Rechter speichenseitiger Handbeuger,Musculus flexor carpi radialis dexter,muscular
right flexor digitorum brevis,Rechter kurzer Zehenbeuger,Musculus flexor digitorum brevis dexter,muscular
right flexor digitorum longus,Rechter langer Zehenbeuger,Musculus flexor digitorum longus dexter,muscular
right flexor digitorum profundus,Rechter tiefer Fingerbeuger,Musculus flexor digitorum profundus dexter,muscular
right flexor digitorum superficialis,Rechter oberflächlicher Fingerbeuger,Musculus flexor digitorum superficialis dexter,muscular
right flexor hallucis longus,Rechter langer Großzehenbeuger,Musculus flexor hallucis longus dexter,muscular
right flexor pollicis brevis,Rechter kurzer Daumenbeuger,Musculus flexor pollicis brevis dexter,muscular
right flexor pollicis longus,Rechter langer Daumenbeuger,Musculus flexor pollicis longus dexter,muscular
right gemellus inferior,Rechter unterer Zwillingsmuskel,Musculus gemellus inferior dexter,muscular
right gemellus superior,Rechter oberer Zwillingsmuskel,Musculus gemellus superior dexter,muscular
right genioglossus,Rechter Kinn-Zungen-Muskel,Musculus genioglossus dexter,muscular
right geniohyoid,Rechter Kinn-Zungenbein-Muskel,Musculus geniohyoideus dexter,muscular
right gluteus maximus,Rechter großer Gesäßmuskel,Musculus gluteus maximus dexter,muscular
right gluteus medius,Rechter mittlerer Gesäßmuskel,Musculus gluteus medius dexter,muscular
right gluteus minimus,Rechter kleiner Gesäßmuskel,Musculus gluteus minimus dexter,muscular
right gracilis,Rechter schlanker Muskel,Musculus gracilis dexter,muscular
right hyoglossus,Rechter Zungenbein-Zungen-Muskel,Musculus hyoglossus dexter,muscular
right iliacus,Rechter Darmbeinmuskel,Musculus iliacus dexter,muscular
right iliococcygeus,Rechter Darmbein-Steißbein-Muskel,Musculus iliococcygeus dexter,muscular
right iliocostalis cervicis,Rechter Darmbein-Rippen-Muskel des Halses,Musculus iliocostalis cervicis dexter,muscular
right iliocostalis lumborum,Rechter Darmbein-Rippen-Muskel der Lende,Musculus iliocostalis lumborum dexter,muscular
right iliocostalis thoracis,Rechter Darmbein-Rippen-Muskel des Brustkorbs,Musculus iliocostalis thoracis dexter,muscular
right inferior oblique,Rechter unterer schräger Augenmuskel,Musculus obliquus inferior dexter,muscular
right inferior rectus,Rechter unterer gerader Augenmuskel,Musculus rectus inferior dexter,muscular
right infraspinatus muscle,Rechter Untergrätenmuskel,Musculus infraspinatus dexter,muscular
right interspinalis thoracis,Rechter Zwischendornmuskel des Brustkorbs,Musculus interspinalis thoracis dexter,muscular
right lateral crico-arytenoid,Rechter seitlicher Ringknorpel-Stellknorpel-Muskel,Musculus cricoarytenoideus lateralis dexter,muscular
right lateral rectus,Rechter seitlicher gerader Augenmuskel,Musculus rectus lateralis dexter,muscular
right levator palpebrae superioris,Rechter Oberlidheber,Musculus levator palpebrae superioris dexter,muscular
right levator veli palatini,Rechter Gaumensegelheber,Musculus levator veli palatini dexter,muscular
right longissimus capitis,Rechter längster Muskel des Kopfes,Musculus longissimus capitis dexter,muscular
right longissimus cervicis,Rechter längster Muskel des Halses,Musculus longissimus cervicis dexter,muscular
right longissimus thoracis,Rechter längster Muskel des Brustkorbs,Musculus longissimus thoracis dexter,muscular
right longus capitis,Rechter langer Kopfmuskel,Musculus longus capitis dexter,muscular
right lumbar rotator,Rechter Lendendrehmuskel,Musculus rotator lumborum dexter,muscular
right medial rectus,Rechter innerer gerader Augenmuskel,Musculus rectus medialis dexter,muscular
right mylohyoid,Rechter Kiefer-Zungenbein-Muskel,Musculus mylohyoideus dexter,muscular
right oblique arytenoid,Rechter schräger Stellknorpelmuskel,Musculus arytenoideus obliquus dexter,muscular
right obliquus capitis inferior,Rechter unterer schräger Kopfmuskel,Musculus obliquus capitis inferior dexter,muscular
right obliquus capitis superior,Rechter oberer schräger Kopfmuskel,Musculus obliquus capitis superior dexter,muscular
right obturator externus,Rechter äußerer Hüftlochmuskel,Musculus obturatorius externus dexter,muscular
right obturator internus,Rechter innerer Hüftlochmuskel,Musculus obturatorius internus dexter,muscular
right omohyoid,Rechter Schulterblatt-Zungenbein-Muskel,Musculus omohyoideus dexter,muscular
right opponens pollicis,Rechter Daumengegensteller,Musculus opponens pollicis dexter,muscular
right palmaris longus,Rechter langer Hohlhandmuskel,Musculus palmaris longus dexter,muscular
right pectineus,Rechter Kammmuskel,Musculus pectineus dexter,muscular
right pectoralis minor,Rechter kleiner Brustmuskel,Musculus pectoralis minor dexter,muscular
right piriformis,Rechter birnenförmiger Muskel,Musculus piriformis dexter,muscular
right plantaris,Rechter langer Sohlenmuskel,Musculus plantaris dexter,muscular
right platysma,Rechter Hautmuskel des Halses,Platysma dextrum,muscular
right popliteus,Rechter Kniekehlenmuskel,Musculus popliteus dexter,muscular
right posterior crico-arytenoid,Rechter hinterer Ringknorpel-Stellknorpel-Muskel,Musculus cricoarytenoideus posterior dexter,muscular
right pronator quadratus,Rechter viereckiger Einwärtsdreher,Musculus pronator quadratus dexter,muscular
right psoas major,Rechter großer Lendenmuskel,Musculus psoas major dexter,muscular
right pubococcygeus,Rechter Schambein-Steißbein-Muskel,Musculus pubococcygeus dexter,muscular
right puborectalis,Rechter Schambein-Mastdarm-Muskel,Musculus puborectalis dexter,muscular
